line,vmin,vmax,SNR,flag,logN,elogN,logN(3sig),Wr(mA),eWr(mA),Wr(mA)(3sig)
SiII1190,-50.0,50.0,2.97,<=(3sig),13.0,0.15,13.0,32.8,11.1,33.300000000000004
SiIII1206,-50.0,50.0,0.71,<=(3sig),11.59,0.61,12.22,6.8,11.3,33.9
SII1250,-50.0,50.0,0.32,<=(3sig),13.66,1.38,14.64,-8.1,11.0,33.0
CII1334,nan,nan,nan,,nan,nan,nan,nan,nan,nan
SiII1193,-50.0,50.0,0.38,<=(3sig),11.79,1.15,12.69,2.8,11.8,35.4
SiIV1393,-50.0,50.0,1.09,<=(3sig),12.27,0.4,12.71,12.4,14.5,43.5
SII1253,-50.0,50.0,1.1,<=(3sig),13.9,0.39,14.33,9.5,10.5,31.5
CIV1548,-50.0,50.0,0.6,<=(3sig),12.51,0.72,13.21,9.6,21.1,63.3
SiII1260,-50.0,50.0,0.71,<=(3sig),11.68,0.61,12.3,6.2,10.8,32.4
SiIV1402,-50.0,50.0,0.76,<=(3sig),12.32,0.57,12.92,-10.8,12.5,37.5
SII1259,nan,nan,nan,,nan,nan,nan,nan,nan,nan
CIV1550,-50.0,50.0,0.95,<=(3sig),13.02,0.46,13.52,15.8,21.2,63.6
SiII1526,-50.0,50.0,1.27,<=(3sig),12.97,0.34,13.35,22.3,19.3,57.9
AlII1670,-50.0,50.0,1.07,<=(3sig),11.54,0.4,11.99,12.8,13.5,40.5
