line,vmin,vmax,SNR,flag,logN,elogN,logN(3sig),Wr(mA),eWr(mA),Wr(mA)(3sig)
SiII1190,-50.0,50.0,1.36,<=(3sig),12.75,0.32,13.09,-22.3,15.9,47.7
SiIII1206,-50.0,50.0,7.57,=,12.66,0.06,nan,79.6,9.8,nan
SII1250,-50.0,50.0,0.98,<=(3sig),14.22,0.45,14.7,8.8,12.3,36.900000000000006
CII1334,nan,nan,nan,,nan,nan,nan,nan,nan,nan
SiII1193,-50.0,50.0,0.89,<=(3sig),12.12,0.49,12.65,8.5,10.7,32.099999999999994
SiIV1393,-50.0,50.0,3.08,=,12.47,0.14,nan,24.0,8.1,nan
SII1253,-50.0,50.0,0.97,<=(3sig),13.91,0.45,14.4,10.6,12.3,36.900000000000006
CIV1548,-90.0,50.0,5.15,=,13.55,0.08,nan,121.4,23.1,nan
SiII1260,-50.0,50.0,0.42,<=(3sig),11.64,1.03,12.5,5.8,17.0,51.0
SiIV1402,-50.0,50.0,0.51,<=(3sig),11.91,0.85,12.68,2.7,7.0,21.0
SII1259,nan,nan,nan,,nan,nan,nan,nan,nan,nan
CIV1550,-90.0,50.0,3.58,=,13.64,0.12,nan,72.0,21.4,nan
SiII1526,-50.0,50.0,0.2,<=(3sig),12.21,2.13,13.38,0.5,21.9,65.69999999999999
AlII1670,-50.0,50.0,1.11,<=(3sig),11.9,0.39,12.34,22.1,28.9,86.7
