# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1661.6564  -1638.60    0.9720    0.0669  2.2641e-14  1.5589e-15  2.3294e-14
1661.6931  -1632.02    1.0738    0.0704  2.5049e-14  1.6424e-15  2.3326e-14
1661.7298  -1625.43    1.0696    0.0702  2.4984e-14  1.6390e-15  2.3358e-14
1661.7665  -1618.85    0.9946    0.0676  2.3262e-14  1.5807e-15  2.3389e-14
1661.8032  -1612.27    0.9731    0.0668  2.2789e-14  1.5642e-15  2.3419e-14
1661.8399  -1605.68    0.9818    0.0671  2.3020e-14  1.5732e-15  2.3448e-14
1661.8766  -1599.10    1.1386    0.0722  2.6731e-14  1.6955e-15  2.3476e-14
1661.9133  -1592.52    1.0424    0.0690  2.4501e-14  1.6213e-15  2.3504e-14
1661.9500  -1585.93    0.9946    0.0675  2.3404e-14  1.5881e-15  2.3530e-14
1661.9867  -1579.35    0.9366    0.0657  2.2062e-14  1.5466e-15  2.3556e-14
1662.0233  -1572.77    0.9232    0.0650  2.1770e-14  1.5316e-15  2.3580e-14
1662.0600  -1566.18    0.8579    0.0627  2.0251e-14  1.4794e-15  2.3604e-14
1662.0967  -1559.60    0.8982    0.0640  2.1221e-14  1.5116e-15  2.3627e-14
1662.1334  -1553.02    0.8362    0.0618  1.9777e-14  1.4607e-15  2.3650e-14
1662.1701  -1546.43    0.8553    0.0624  2.0247e-14  1.4768e-15  2.3671e-14
1662.2068  -1539.85    0.7303    0.0577  1.7301e-14  1.3682e-15  2.3692e-14
1662.2435  -1533.27    0.6759    0.0556  1.6027e-14  1.3188e-15  2.3711e-14
1662.2802  -1526.68    0.6803    0.0556  1.6144e-14  1.3192e-15  2.3730e-14
1662.3169  -1520.10    0.6041    0.0525  1.4347e-14  1.2463e-15  2.3748e-14
1662.3536  -1513.52    0.6217    0.0532  1.4774e-14  1.2644e-15  2.3766e-14
1662.3902  -1506.93    0.5593    0.0505  1.3301e-14  1.2012e-15  2.3782e-14
1662.4269  -1500.35    0.5878    0.0520  1.3989e-14  1.2371e-15  2.3798e-14
1662.4636  -1493.77    0.4856    0.0472  1.1563e-14  1.1237e-15  2.3812e-14
1662.5003  -1487.18    0.3332    0.0395  7.9387e-15  9.4052e-16  2.3826e-14
1662.5370  -1480.60    0.1988    0.0310  4.7392e-15  7.3812e-16  2.3840e-14
1662.5737  -1474.02    0.1027    0.0231  2.4490e-15  5.5120e-16  2.3852e-14
1662.6104  -1467.43    0.0970    0.0223  2.3142e-15  5.3233e-16  2.3864e-14
1662.6471  -1460.85    0.0737    0.0201  1.7595e-15  4.7948e-16  2.3875e-14
1662.6838  -1454.27    0.0675    0.0194  1.6114e-15  4.6301e-16  2.3885e-14
1662.7205  -1447.68    0.0575    0.0182  1.3746e-15  4.3404e-16  2.3894e-14
1662.7571  -1441.10    0.0504    0.0175  1.2048e-15  4.1778e-16  2.3903e-14
1662.7938  -1434.52    0.0219    0.0132  5.2327e-16  3.1475e-16  2.3911e-14
1662.8305  -1427.93    0.0298    0.0145  7.1343e-16  3.4710e-16  2.3918e-14
1662.8672  -1421.35    0.0335    0.0150  8.0151e-16  3.5889e-16  2.3924e-14
1662.9039  -1414.77    0.0425    0.0164  1.0167e-15  3.9260e-16  2.3930e-14
1662.9406  -1408.18    0.0242    0.0139  5.7858e-16  3.3185e-16  2.3934e-14
1662.9773  -1401.60    0.0270    0.0141  6.4535e-16  3.3747e-16  2.3939e-14
1663.0140  -1395.02    0.0352    0.0151  8.4306e-16  3.6201e-16  2.3942e-14
1663.0507  -1388.43    0.0243    0.0132  5.8121e-16  3.1582e-16  2.3945e-14
1663.0874  -1381.85    0.0336    0.0148  8.0549e-16  3.5533e-16  2.3947e-14
1663.1240  -1375.26    0.0428    0.0164  1.0241e-15  3.9163e-16  2.3948e-14
1663.1607  -1368.68    0.0499    0.0172  1.1946e-15  4.1200e-16  2.3948e-14
1663.1974  -1362.10    0.0687    0.0196  1.6445e-15  4.6898e-16  2.3948e-14
1663.2341  -1355.51    0.0944    0.0223  2.2610e-15  5.3336e-16  2.3947e-14
1663.2708  -1348.93    0.1657    0.0285  3.9678e-15  6.8257e-16  2.3945e-14
1663.3075  -1342.35    0.2498    0.0344  5.9803e-15  8.2271e-16  2.3943e-14
1663.3442  -1335.76    0.1787    0.0292  4.2785e-15  7.0016e-16  2.3940e-14
1663.3809  -1329.18    0.0907    0.0223  2.1703e-15  5.3398e-16  2.3937e-14
1663.4176  -1322.60    0.0897    0.0234  2.1472e-15  5.6020e-16  2.3932e-14
1663.4543  -1316.01    0.0564    0.0189  1.3487e-15  4.5152e-16  2.3927e-14
1663.4909  -1309.43    0.0621    0.0198  1.4860e-15  4.7463e-16  2.3921e-14
1663.5276  -1302.85    0.0689    0.0204  1.6468e-15  4.8834e-16  2.3915e-14
1663.5643  -1296.26    0.0852    0.0232  2.0361e-15  5.5470e-16  2.3908e-14
1663.6010  -1289.68    0.1556    0.0298  3.7183e-15  7.1130e-16  2.3900e-14
1663.6377  -1283.10    0.2071    0.0334  4.9488e-15  7.9689e-16  2.3892e-14
1663.6744  -1276.51    0.1299    0.0272  3.1031e-15  6.4950e-16  2.3883e-14
1663.7111  -1269.93    0.1224    0.0262  2.9221e-15  6.2480e-16  2.3874e-14
1663.7478  -1263.35    0.0933    0.0234  2.2268e-15  5.5803e-16  2.3863e-14
1663.7845  -1256.76    0.0489    0.0177  1.1652e-15  4.2138e-16  2.3852e-14
1663.8212  -1250.18    0.0224    0.0140  5.3319e-16  3.3438e-16  2.3841e-14
1663.8578  -1243.60    0.0095    0.0130  2.2563e-16  3.1055e-16  2.3829e-14
