# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1539.0018  -1781.91    0.9316    0.1399  2.0936e-15  3.1452e-16  2.2474e-15
1539.0385  -1774.80    1.0781    0.1508  2.4221e-15  3.3882e-16  2.2467e-15
1539.0752  -1767.70    0.9807    0.1444  2.2027e-15  3.2423e-16  2.2460e-15
1539.1118  -1760.60    1.0176    0.1566  2.2848e-15  3.5164e-16  2.2453e-15
1539.1485  -1753.49    1.1092    0.1638  2.4897e-15  3.6762e-16  2.2446e-15
1539.1852  -1746.39    1.0103    0.1566  2.2671e-15  3.5132e-16  2.2439e-15
1539.2219  -1739.28    0.9082    0.1474  2.0372e-15  3.3076e-16  2.2432e-15
1539.2586  -1732.18    1.1586    0.1651  2.5981e-15  3.7031e-16  2.2425e-15
1539.2953  -1725.07    1.0384    0.1554  2.3280e-15  3.4833e-16  2.2418e-15
1539.3320  -1717.97    0.8716    0.1538  1.9534e-15  3.4477e-16  2.2411e-15
1539.3687  -1710.86    1.0568    0.1651  2.3677e-15  3.6994e-16  2.2404e-15
1539.4054  -1703.76    1.0849    0.1715  2.4299e-15  3.8413e-16  2.2398e-15
1539.4421  -1696.65    0.9343    0.1619  2.0920e-15  3.6252e-16  2.2391e-15
1539.4787  -1689.55    0.8008    0.1499  1.7925e-15  3.3545e-16  2.2384e-15
1539.5154  -1682.44    1.1473    0.1723  2.5673e-15  3.8551e-16  2.2377e-15
1539.5521  -1675.34    1.1798    0.1743  2.6394e-15  3.8997e-16  2.2370e-15
1539.5888  -1668.24    1.0055    0.1674  2.2486e-15  3.7445e-16  2.2364e-15
1539.6255  -1661.13    1.1251    0.1741  2.5153e-15  3.8918e-16  2.2357e-15
1539.6622  -1654.03    0.9555    0.1587  2.1355e-15  3.5478e-16  2.2350e-15
1539.6989  -1646.92    0.9468    0.1593  2.1154e-15  3.5585e-16  2.2344e-15
1539.7356  -1639.82    1.1016    0.1622  2.4607e-15  3.6222e-16  2.2337e-15
1539.7723  -1632.71    0.9832    0.1535  2.1956e-15  3.4275e-16  2.2330e-15
1539.8090  -1625.61    1.2001    0.1695  2.6790e-15  3.7840e-16  2.2324e-15
1539.8456  -1618.50    1.1127    0.1635  2.4833e-15  3.6486e-16  2.2317e-15
1539.8823  -1611.40    0.9931    0.1529  2.2157e-15  3.4122e-16  2.2311e-15
1539.9190  -1604.29    0.9760    0.1517  2.1768e-15  3.3827e-16  2.2304e-15
1539.9557  -1597.19    0.8285    0.1463  1.8474e-15  3.2624e-16  2.2298e-15
1539.9924  -1590.08    1.1549    0.1637  2.5743e-15  3.6499e-16  2.2291e-15
1540.0291  -1582.98    1.1695    0.1584  2.6062e-15  3.5290e-16  2.2285e-15
1540.0658  -1575.88    0.9132    0.1403  2.0344e-15  3.1264e-16  2.2278e-15
1540.1025  -1568.77    0.8274    0.1337  1.8429e-15  2.9787e-16  2.2272e-15
1540.1392  -1561.67    1.1040    0.1535  2.4581e-15  3.4171e-16  2.2265e-15
1540.1759  -1554.56    0.8736    0.1377  1.9445e-15  3.0661e-16  2.2259e-15
1540.2125  -1547.46    1.0103    0.1472  2.2481e-15  3.2763e-16  2.2253e-15
1540.2492  -1540.35    0.9675    0.1450  2.1523e-15  3.2248e-16  2.2246e-15
1540.2859  -1533.25    0.8780    0.1380  1.9528e-15  3.0693e-16  2.2240e-15
1540.3226  -1526.14    1.0285    0.1481  2.2867e-15  3.2931e-16  2.2234e-15
1540.3593  -1519.04    0.8137    0.1335  1.8087e-15  2.9664e-16  2.2228e-15
