# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1132.9655  -2466.89    1.0031    0.1774  3.7019e-15  6.5480e-16  3.6905e-15
1132.9954  -2459.04    0.7035    0.1498  2.5965e-15  5.5293e-16  3.6910e-15
1133.0253  -2451.19    0.9632    0.1739  3.5556e-15  6.4180e-16  3.6915e-15
1133.0552  -2443.34    0.7312    0.1525  2.6995e-15  5.6295e-16  3.6920e-15
1133.0851  -2435.49    0.9311    0.1709  3.4380e-15  6.3105e-16  3.6925e-15
1133.1150  -2427.64    0.8385    0.1625  3.0967e-15  6.0016e-16  3.6931e-15
1133.1449  -2419.79    0.9458    0.1721  3.4934e-15  6.3552e-16  3.6936e-15
1133.1749  -2411.94    1.0425    0.1802  3.8512e-15  6.6579e-16  3.6941e-15
1133.2048  -2404.09    1.0307    0.1792  3.8080e-15  6.6203e-16  3.6946e-15
1133.2347  -2396.24    0.9260    0.1701  3.4214e-15  6.2864e-16  3.6950e-15
1133.2646  -2388.39    1.0153    0.1777  3.7522e-15  6.5666e-16  3.6955e-15
1133.2945  -2380.54    0.8442    0.1626  3.1203e-15  6.0082e-16  3.6960e-15
1133.3244  -2372.69    0.9703    0.1737  3.5867e-15  6.4196e-16  3.6965e-15
1133.3543  -2364.84    0.9992    0.1761  3.6941e-15  6.5096e-16  3.6970e-15
1133.3842  -2356.99    1.2846    0.1987  4.7498e-15  7.3473e-16  3.6974e-15
1133.4141  -2349.15    0.9049    0.1678  3.3461e-15  6.2063e-16  3.6979e-15
1133.4440  -2341.30    0.8202    0.1601  3.0333e-15  5.9202e-16  3.6984e-15
1133.4740  -2333.45    1.0956    0.1838  4.0524e-15  6.7979e-16  3.6988e-15
1133.5039  -2325.60    1.0720    0.1817  3.9656e-15  6.7212e-16  3.6993e-15
1133.5338  -2317.75    0.9706    0.1731  3.5909e-15  6.4036e-16  3.6998e-15
1133.5637  -2309.90    1.2252    0.1935  4.5335e-15  7.1617e-16  3.7002e-15
1133.5936  -2302.05    1.0169    0.1768  3.7632e-15  6.5409e-16  3.7006e-15
1133.6235  -2294.20    0.7538    0.1531  2.7900e-15  5.6652e-16  3.7011e-15
1133.6534  -2286.35    0.8028    0.1576  2.9718e-15  5.8354e-16  3.7015e-15
1133.6833  -2278.50    1.2073    0.1918  4.4695e-15  7.0993e-16  3.7020e-15
1133.7132  -2270.65    1.2005    0.1912  4.4448e-15  7.0784e-16  3.7024e-15
1133.7431  -2262.80    0.9264    0.1687  3.4302e-15  6.2456e-16  3.7028e-15
1133.7731  -2254.95    1.1211    0.1848  4.1516e-15  6.8443e-16  3.7032e-15
1133.8030  -2247.10    1.0702    0.1807  3.9638e-15  6.6928e-16  3.7036e-15
1133.8329  -2239.26    1.3750    0.2039  5.0930e-15  7.5539e-16  3.7041e-15
1133.8628  -2231.41    0.7068    0.1481  2.6184e-15  5.4856e-16  3.7045e-15
1133.8927  -2223.56    0.6898    0.1463  2.5557e-15  5.4208e-16  3.7049e-15
1133.9226  -2215.71    0.7026    0.1475  2.6034e-15  5.4639e-16  3.7053e-15
1133.9525  -2207.86    0.5488    0.1311  2.0336e-15  4.8593e-16  3.7057e-15
1133.9824  -2200.01    0.4372    0.1180  1.6205e-15  4.3737e-16  3.7060e-15
1134.0123  -2192.16    0.3085    0.1008  1.1434e-15  3.7374e-16  3.7064e-15
1134.0422  -2184.31    0.2292    0.0887  8.4971e-16  3.2865e-16  3.7068e-15
1134.0722  -2176.46    0.3298    0.1040  1.2226e-15  3.8558e-16  3.7072e-15
1134.1021  -2168.61    0.3028    0.1001  1.1225e-15  3.7122e-16  3.7076e-15
1134.1320  -2160.76    0.2761    0.0961  1.0236e-15  3.5615e-16  3.7079e-15
1134.1619  -2152.91    0.3853    0.1114  1.4288e-15  4.1327e-16  3.7083e-15
1134.1918  -2145.06    0.3268    0.1034  1.2121e-15  3.8344e-16  3.7086e-15
1134.2217  -2137.21    0.3070    0.1006  1.1386e-15  3.7307e-16  3.7090e-15
1134.2516  -2129.36    0.3213    0.1028  1.1916e-15  3.8126e-16  3.7093e-15
1134.2815  -2121.52    0.2994    0.1000  1.1108e-15  3.7110e-16  3.7097e-15
1134.3114  -2113.67    0.1442    0.1060  5.3498e-16  3.9321e-16  3.7100e-15
1134.3413  -2105.82    0.4295    0.2342  1.5934e-15  8.6904e-16  3.7103e-15
1134.3713  -2097.97    0.6361    0.2806  2.3602e-15  1.0413e-15  3.7107e-15
1134.4012  -2090.12    0.6855    0.2906  2.5438e-15  1.0784e-15  3.7110e-15
1134.4311  -2082.27    1.1076    0.3653  4.1107e-15  1.3556e-15  3.7113e-15
1134.4610  -2074.42    0.9366    0.3369  3.4761e-15  1.2503e-15  3.7116e-15
1134.4909  -2066.57    1.1468    0.3715  4.2568e-15  1.3789e-15  3.7119e-15
1134.5208  -2058.72    1.1258    0.3682  4.1793e-15  1.3667e-15  3.7122e-15
1134.5507  -2050.87    0.7683    0.3067  2.8523e-15  1.1387e-15  3.7125e-15
1134.5806  -2043.02    0.9280    0.3352  3.4455e-15  1.2446e-15  3.7128e-15
1134.6105  -2035.17    1.4944    0.4214  5.5489e-15  1.5647e-15  3.7131e-15
1134.6404  -2027.32    0.7019    0.2930  2.6064e-15  1.0882e-15  3.7134e-15
1134.6704  -2019.47    1.0268    0.3510  3.8132e-15  1.3036e-15  3.7136e-15
1134.7003  -2011.62    0.8227    0.3157  3.0555e-15  1.1724e-15  3.7139e-15
1134.7302  -2003.78    0.9179    0.3325  3.4092e-15  1.2350e-15  3.7142e-15
1134.7601  -1995.93    0.5617    0.2639  2.0864e-15  9.8034e-16  3.7144e-15
1134.7900  -1988.08    0.2898    0.1957  1.0766e-15  7.2687e-16  3.7147e-15
1134.8199  -1980.23    0.3664    0.2166  1.3611e-15  8.0462e-16  3.7149e-15
1134.8498  -1972.38    0.6399    0.2799  2.3773e-15  1.0400e-15  3.7152e-15
1134.8797  -1964.53    0.1407    0.1443  5.2280e-16  5.3622e-16  3.7154e-15
1134.9096  -1956.68    0.2711    0.1891  1.0075e-15  7.0252e-16  3.7156e-15
1134.9395  -1948.83    0.6850    0.1786  2.5454e-15  6.6372e-16  3.7159e-15
1134.9695  -1940.98    0.5264    0.1275  1.9560e-15  4.7374e-16  3.7161e-15
1134.9994  -1933.13    0.7628    0.1516  2.8347e-15  5.6355e-16  3.7163e-15
1135.0293  -1925.28    0.7536    0.1506  2.8007e-15  5.5966e-16  3.7165e-15
1135.0592  -1917.43    0.8283    0.1574  3.0786e-15  5.8509e-16  3.7167e-15
1135.0891  -1909.58    0.8382    0.1582  3.1155e-15  5.8817e-16  3.7169e-15
1135.1190  -1901.73    1.1589    0.1848  4.3078e-15  6.8700e-16  3.7171e-15
1135.1489  -1893.88    0.9819    0.1706  3.6499e-15  6.3418e-16  3.7173e-15
1135.1788  -1886.04    1.1843    0.1867  4.4024e-15  6.9402e-16  3.7174e-15
1135.2087  -1878.19    1.2847    0.1941  4.7762e-15  7.2171e-16  3.7176e-15
1135.2386  -1870.34    1.1334    0.1826  4.2138e-15  6.7882e-16  3.7178e-15
1135.2686  -1862.49    0.9028    0.1635  3.3565e-15  6.0791e-16  3.7179e-15
1135.2985  -1854.64    1.1068    0.1803  4.1150e-15  6.7029e-16  3.7181e-15
1135.3284  -1846.79    1.1476    0.1834  4.2670e-15  6.8199e-16  3.7182e-15
1135.3583  -1838.94    0.8738    0.1886  3.2490e-15  7.0137e-16  3.7184e-15
1135.3882  -1831.09    0.8089    0.1102  3.0079e-15  4.0971e-16  3.7185e-15
1135.4181  -1823.24    0.9180    0.1171  3.4138e-15  4.3557e-16  3.7186e-15
1135.4480  -1815.39    0.8995    0.1159  3.3452e-15  4.3099e-16  3.7188e-15
1135.4779  -1807.54    0.9228    0.1174  3.4318e-15  4.3652e-16  3.7189e-15
1135.5078  -1799.69    1.0574    0.1254  3.9323e-15  4.6619e-16  3.7190e-15
1135.5377  -1791.84    0.8679    0.1138  3.2279e-15  4.2331e-16  3.7191e-15
1135.5677  -1783.99    1.2286    0.1348  4.5695e-15  5.0123e-16  3.7192e-15
1135.5976  -1776.15    0.9547    0.1192  3.5507e-15  4.4323e-16  3.7193e-15
1135.6275  -1768.30    0.9902    0.1213  3.6830e-15  4.5118e-16  3.7194e-15
1135.6574  -1760.45    0.9319    0.1178  3.4661e-15  4.3816e-16  3.7194e-15
1135.6873  -1752.60    1.2180    0.1342  4.5304e-15  4.9920e-16  3.7195e-15
1135.7172  -1744.75    0.9604    0.1195  3.5723e-15  4.4465e-16  3.7196e-15
1135.7471  -1736.90    1.0767    0.1264  4.0049e-15  4.7000e-16  3.7196e-15
1135.7770  -1729.05    1.2580    0.1363  4.6793e-15  5.0696e-16  3.7197e-15
1135.8069  -1721.20    1.0124    0.1226  3.7660e-15  4.5591e-16  3.7197e-15
1135.8368  -1713.35    0.9689    0.1199  3.6040e-15  4.4616e-16  3.7198e-15
1135.8668  -1705.50    0.9083    0.1162  3.3786e-15  4.3225e-16  3.7198e-15
1135.8967  -1697.65    0.8459    0.1122  3.1466e-15  4.1742e-16  3.7198e-15
1135.9266  -1689.80    0.8966    0.1154  3.3353e-15  4.2935e-16  3.7198e-15
1135.9565  -1681.95    0.9795    0.1204  3.6437e-15  4.4790e-16  3.7199e-15
1135.9864  -1674.10    0.9649    0.1198  3.5891e-15  4.4568e-16  3.7199e-15
1136.0163  -1666.25    1.1196    0.1603  4.1647e-15  5.9633e-16  3.7199e-15
1136.0462  -1658.41    0.9685    0.1540  3.6025e-15  5.7299e-16  3.7198e-15
1136.0761  -1650.56    0.6758    0.1336  2.5138e-15  4.9712e-16  3.7198e-15
1136.1060  -1642.71    0.8458    0.1458  3.1461e-15  5.4243e-16  3.7198e-15
1136.1359  -1634.86    0.8595    0.1516  3.1970e-15  5.6373e-16  3.7198e-15
1136.1659  -1627.01    0.8355    0.1161  3.1080e-15  4.3186e-16  3.7197e-15
1136.1958  -1619.16    0.9762    0.1200  3.6312e-15  4.4627e-16  3.7197e-15
1136.2257  -1611.31    1.1653    0.1307  4.3345e-15  4.8603e-16  3.7196e-15
1136.2556  -1603.46    0.9252    0.1168  3.4415e-15  4.3427e-16  3.7196e-15
1136.2855  -1595.61    1.0551    0.1244  3.9244e-15  4.6268e-16  3.7195e-15
1136.3154  -1587.76    0.8796    0.1138  3.2716e-15  4.2345e-16  3.7194e-15
1136.3453  -1579.91    1.1234    0.1282  4.1782e-15  4.7665e-16  3.7194e-15
1136.3752  -1572.06    1.1430    0.1292  4.2513e-15  4.8059e-16  3.7193e-15
1136.4051  -1564.21    1.1585    0.1301  4.3086e-15  4.8371e-16  3.7192e-15
1136.4350  -1556.36    1.0191    0.1222  3.7900e-15  4.5442e-16  3.7191e-15
1136.4650  -1548.51    0.9737    0.1195  3.6212e-15  4.4448e-16  3.7190e-15
1136.4949  -1540.67    1.0298    0.1228  3.8297e-15  4.5669e-16  3.7188e-15
1136.5248  -1532.82    0.9728    0.1194  3.6176e-15  4.4417e-16  3.7187e-15
1136.5547  -1524.97    1.0136    0.1218  3.7692e-15  4.5296e-16  3.7186e-15
1136.5846  -1517.12    0.8951    0.1146  3.3283e-15  4.2607e-16  3.7184e-15
1136.6145  -1509.27    0.8142    0.1094  3.0276e-15  4.0690e-16  3.7183e-15
1136.6444  -1501.42    0.9494    0.1178  3.5299e-15  4.3797e-16  3.7182e-15
1136.6743  -1493.57    0.9361    0.1170  3.4805e-15  4.3512e-16  3.7180e-15
1136.7042  -1485.72    0.8203    0.1097  3.0499e-15  4.0799e-16  3.7179e-15
1136.7341  -1477.87    0.9297    0.1166  3.4562e-15  4.3332e-16  3.7177e-15
1136.7641  -1470.02    1.0297    0.1224  3.8281e-15  4.5516e-16  3.7176e-15
1136.7940  -1462.17    0.8236    0.1099  3.0618e-15  4.0843e-16  3.7175e-15
1136.8239  -1454.32    1.1460    0.1289  4.2602e-15  4.7924e-16  3.7173e-15
1136.8538  -1446.47    0.9819    0.1195  3.6501e-15  4.4425e-16  3.7172e-15
1136.8837  -1438.62    0.8451    0.1111  3.1411e-15  4.1312e-16  3.7170e-15
1136.9136  -1430.78    0.8521    0.1116  3.1672e-15  4.1476e-16  3.7169e-15
1136.9435  -1422.93    1.1355    0.1283  4.2204e-15  4.7669e-16  3.7167e-15
1136.9734  -1415.08    0.9121    0.1152  3.3897e-15  4.2823e-16  3.7166e-15
1137.0033  -1407.23    1.1461    0.1287  4.2596e-15  4.7844e-16  3.7165e-15
1137.0332  -1399.38    1.1183    0.1272  4.1560e-15  4.7258e-16  3.7163e-15
1137.0632  -1391.53    0.9899    0.1198  3.6788e-15  4.4528e-16  3.7162e-15
