# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1229.4551  -2266.52    0.9908    0.0998  2.6494e-15  2.6693e-16  2.6739e-15
1229.4851  -2259.28    0.9334    0.0970  2.4955e-15  2.5927e-16  2.6737e-15
1229.5150  -2252.04    1.0242    0.1015  2.7382e-15  2.7128e-16  2.6736e-15
1229.5449  -2244.81    1.1037    0.1053  2.9506e-15  2.8139e-16  2.6734e-15
1229.5748  -2237.57    1.2038    0.1098  3.2181e-15  2.9361e-16  2.6733e-15
1229.6047  -2230.33    1.0604    0.1032  2.8346e-15  2.7593e-16  2.6731e-15
1229.6346  -2223.09    1.0336    0.1020  2.7629e-15  2.7252e-16  2.6730e-15
1229.6645  -2215.85    0.9813    0.0994  2.6227e-15  2.6571e-16  2.6728e-15
1229.6944  -2208.62    0.8657    0.0935  2.3136e-15  2.4993e-16  2.6726e-15
1229.7243  -2201.38    1.1522    0.1075  3.0793e-15  2.8729e-16  2.6725e-15
1229.7542  -2194.14    0.9717    0.0989  2.5968e-15  2.6433e-16  2.6723e-15
1229.7842  -2186.90    1.0434    0.1024  2.7881e-15  2.7362e-16  2.6722e-15
1229.8141  -2179.66    0.9338    0.0970  2.4952e-15  2.5918e-16  2.6720e-15
1229.8440  -2172.42    1.1852    0.1090  3.1668e-15  2.9114e-16  2.6719e-15
1229.8739  -2165.19    1.1098    0.1055  2.9651e-15  2.8193e-16  2.6717e-15
1229.9038  -2157.95    1.1273    0.1063  3.0116e-15  2.8406e-16  2.6716e-15
1229.9337  -2150.71    0.9645    0.0985  2.5767e-15  2.6314e-16  2.6714e-15
1229.9636  -2143.47    1.1347    0.1066  3.0310e-15  2.8489e-16  2.6713e-15
1229.9935  -2136.23    1.0924    0.1047  2.9179e-15  2.7959e-16  2.6711e-15
1230.0234  -2129.00    0.9480    0.0976  2.5321e-15  2.6078e-16  2.6710e-15
1230.0533  -2121.76    1.1199    0.1059  2.9912e-15  2.8291e-16  2.6708e-15
1230.0833  -2114.52    0.9763    0.0990  2.6073e-15  2.6453e-16  2.6707e-15
1230.1132  -2107.28    1.0740    0.1038  2.8682e-15  2.7710e-16  2.6705e-15
1230.1431  -2100.04    0.9472    0.0976  2.5293e-15  2.6054e-16  2.6704e-15
1230.1730  -2092.81    0.9801    0.0992  2.6171e-15  2.6495e-16  2.6702e-15
1230.2029  -2085.57    1.0347    0.1019  2.7627e-15  2.7203e-16  2.6701e-15
1230.2328  -2078.33    0.9861    0.0995  2.6328e-15  2.6566e-16  2.6699e-15
1230.2627  -2071.09    1.0574    0.1029  2.8230e-15  2.7485e-16  2.6698e-15
1230.2926  -2063.85    0.8777    0.0940  2.3432e-15  2.5091e-16  2.6696e-15
1230.3225  -2056.61    1.0097    0.1006  2.6954e-15  2.6860e-16  2.6695e-15
1230.3524  -2049.38    1.0111    0.1007  2.6989e-15  2.6870e-16  2.6693e-15
1230.3824  -2042.14    1.0444    0.1023  2.7876e-15  2.7298e-16  2.6692e-15
1230.4123  -2034.90    1.0209    0.1011  2.7248e-15  2.6989e-16  2.6690e-15
1230.4422  -2027.66    1.0104    0.1006  2.6966e-15  2.6856e-16  2.6689e-15
1230.4721  -2020.42    1.0736    0.1037  2.8652e-15  2.7662e-16  2.6687e-15
1230.5020  -2013.19    0.9418    0.0972  2.5133e-15  2.5946e-16  2.6686e-15
1230.5319  -2005.95    0.9398    0.1003  2.5077e-15  2.6769e-16  2.6684e-15
1230.5618  -1998.71    0.9311    0.1104  2.4845e-15  2.9464e-16  2.6683e-15
1230.5917  -1991.47    0.8787    0.1240  2.3445e-15  3.3089e-16  2.6681e-15
1230.6216  -1984.23    0.9877    0.1317  2.6352e-15  3.5128e-16  2.6680e-15
1230.6515  -1976.99    1.0662    0.1368  2.8446e-15  3.6494e-16  2.6678e-15
1230.6815  -1969.76    0.9716    0.1316  2.5920e-15  3.5108e-16  2.6677e-15
