# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1143.4041  -2448.11    0.9347    0.1112  3.4337e-15  4.0836e-16  3.6738e-15
1143.4340  -2440.33    0.9909    0.1144  3.6402e-15  4.2014e-16  3.6735e-15
1143.4639  -2432.55    1.0159    0.1157  3.7317e-15  4.2509e-16  3.6733e-15
1143.4938  -2424.78    1.0662    0.1185  3.9161e-15  4.3531e-16  3.6730e-15
1143.5237  -2417.00    1.1169    0.1212  4.1020e-15  4.4509e-16  3.6728e-15
1143.5536  -2409.22    0.8815    0.1079  3.2373e-15  3.9628e-16  3.6725e-15
1143.5835  -2401.44    0.9698    0.1130  3.5615e-15  4.1503e-16  3.6723e-15
1143.6134  -2393.66    0.9727    0.1131  3.5717e-15  4.1539e-16  3.6720e-15
1143.6434  -2385.88    0.9328    0.1109  3.4251e-15  4.0705e-16  3.6718e-15
1143.6733  -2378.11    1.0280    0.1162  3.7745e-15  4.2680e-16  3.6715e-15
1143.7032  -2370.33    0.9422    0.1114  3.4589e-15  4.0884e-16  3.6713e-15
1143.7331  -2362.55    0.9145    0.1098  3.3570e-15  4.0291e-16  3.6710e-15
1143.7630  -2354.77    0.8739    0.1073  3.2078e-15  3.9396e-16  3.6708e-15
1143.7929  -2346.99    0.7754    0.1013  2.8463e-15  3.7176e-16  3.6705e-15
1143.8228  -2339.22    1.0955    0.1199  4.0208e-15  4.3996e-16  3.6702e-15
1143.8527  -2331.44    0.9746    0.1132  3.5769e-15  4.1557e-16  3.6700e-15
1143.8826  -2323.66    1.1183    0.1211  4.1037e-15  4.4438e-16  3.6697e-15
1143.9125  -2315.88    0.7111    0.0971  2.6093e-15  3.5630e-16  3.6695e-15
1143.9425  -2308.10    1.1042    0.1203  4.0516e-15  4.4148e-16  3.6692e-15
1143.9724  -2300.32    1.0027    0.1147  3.6790e-15  4.2094e-16  3.6690e-15
1144.0023  -2292.55    0.9823    0.1136  3.6039e-15  4.1667e-16  3.6687e-15
1144.0322  -2284.77    1.1079    0.1205  4.0641e-15  4.4193e-16  3.6684e-15
1144.0621  -2276.99    1.0812    0.1190  3.9662e-15  4.3669e-16  3.6682e-15
1144.0920  -2269.21    1.1116    0.1207  4.0772e-15  4.4270e-16  3.6679e-15
1144.1219  -2261.43    0.9055    0.1092  3.3211e-15  4.0045e-16  3.6677e-15
1144.1518  -2253.66    1.0631    0.1181  3.8990e-15  4.3299e-16  3.6674e-15
1144.1817  -2245.88    1.0006    0.1146  3.6695e-15  4.2032e-16  3.6671e-15
1144.2116  -2238.10    1.0069    0.1149  3.6921e-15  4.2142e-16  3.6669e-15
1144.2416  -2230.32    1.1819    0.1243  4.3336e-15  4.5569e-16  3.6666e-15
1144.2715  -2222.54    0.9990    0.1145  3.6625e-15  4.1975e-16  3.6664e-15
1144.3014  -2214.77    1.1587    0.1230  4.2478e-15  4.5108e-16  3.6661e-15
1144.3313  -2206.99    0.9656    0.1125  3.5398e-15  4.1258e-16  3.6658e-15
1144.3612  -2199.21    1.0860    0.1192  3.9806e-15  4.3687e-16  3.6656e-15
1144.3911  -2191.43    0.8205    0.1040  3.0075e-15  3.8126e-16  3.6653e-15
1144.4210  -2183.65    1.0861    0.1192  3.9804e-15  4.3688e-16  3.6650e-15
1144.4509  -2175.87    0.8961    0.1085  3.2839e-15  3.9773e-16  3.6648e-15
1144.4808  -2168.10    0.8151    0.1037  2.9870e-15  3.7993e-16  3.6645e-15
1144.5107  -2160.32    0.9113    0.1094  3.3392e-15  4.0098e-16  3.6642e-15
1144.5407  -2152.54    0.7274    0.0981  2.6653e-15  3.5961e-16  3.6640e-15
1144.5706  -2144.76    0.6499    0.0930  2.3810e-15  3.4060e-16  3.6637e-15
1144.6005  -2136.98    0.8281    0.1044  3.0336e-15  3.8258e-16  3.6634e-15
1144.6304  -2129.21    0.7208    0.0977  2.6403e-15  3.5783e-16  3.6632e-15
1144.6603  -2121.43    0.5651    0.0869  2.0700e-15  3.1830e-16  3.6629e-15
1144.6902  -2113.65    0.4242    0.0758  1.5537e-15  2.7765e-16  3.6626e-15
1144.7201  -2105.87    0.4343    0.0766  1.5906e-15  2.8062e-16  3.6624e-15
1144.7500  -2098.09    0.3498    0.0693  1.2811e-15  2.5365e-16  3.6621e-15
1144.7799  -2090.31    0.2321    0.0574  8.4981e-16  2.1016e-16  3.6618e-15
1144.8098  -2082.54    0.2993    0.0644  1.0960e-15  2.3570e-16  3.6616e-15
1144.8398  -2074.76    0.3931    0.0730  1.4392e-15  2.6718e-16  3.6613e-15
1144.8697  -2066.98    0.3637    0.0703  1.3314e-15  2.5741e-16  3.6610e-15
1144.8996  -2059.20    0.5608    0.0863  2.0530e-15  3.1585e-16  3.6608e-15
1144.9295  -2051.42    0.7196    0.0973  2.6339e-15  3.5603e-16  3.6605e-15
1144.9594  -2043.65    0.7425    0.0987  2.7178e-15  3.6139e-16  3.6602e-15
1144.9893  -2035.87    0.7527    0.0994  2.7549e-15  3.6368e-16  3.6599e-15
1145.0192  -2028.09    0.8622    0.1061  3.1554e-15  3.8832e-16  3.6597e-15
1145.0491  -2020.31    1.0550    0.1170  3.8605e-15  4.2825e-16  3.6594e-15
1145.0790  -2012.53    0.9300    0.1100  3.4030e-15  4.0249e-16  3.6591e-15
1145.1089  -2004.76    1.0003    0.1139  3.6599e-15  4.1692e-16  3.6588e-15
1145.1389  -1996.98    1.0695    0.1177  3.9130e-15  4.3076e-16  3.6586e-15
1145.1688  -1989.20    0.8543    0.1055  3.1254e-15  3.8590e-16  3.6583e-15
1145.1987  -1981.42    1.0419    0.1162  3.8113e-15  4.2509e-16  3.6580e-15
1145.2286  -1973.64    0.9556    0.1114  3.4952e-15  4.0736e-16  3.6577e-15
1145.2585  -1965.86    0.9812    0.1128  3.5888e-15  4.1248e-16  3.6575e-15
1145.2884  -1958.09    0.9184    0.1092  3.3589e-15  3.9928e-16  3.6572e-15
1145.3183  -1950.31    0.8989    0.1080  3.2873e-15  3.9507e-16  3.6569e-15
1145.3482  -1942.53    1.0689    0.1175  3.9085e-15  4.2978e-16  3.6566e-15
1145.3781  -1934.75    0.9574    0.1114  3.5005e-15  4.0721e-16  3.6564e-15
1145.4080  -1926.97    1.0732    0.1178  3.9239e-15  4.3053e-16  3.6561e-15
1145.4380  -1919.20    1.3555    0.1320  4.9555e-15  4.8270e-16  3.6558e-15
1145.4679  -1911.42    1.2468    0.1267  4.5576e-15  4.6317e-16  3.6555e-15
1145.4978  -1903.64    1.0772    0.1180  3.9373e-15  4.3116e-16  3.6552e-15
1145.5277  -1895.86    0.9027    0.1082  3.2995e-15  3.9550e-16  3.6550e-15
1145.5576  -1888.08    1.0776    0.1179  3.9383e-15  4.3100e-16  3.6547e-15
1145.5875  -1880.30    1.0890    0.1185  3.9797e-15  4.3321e-16  3.6544e-15
1145.6174  -1872.53    0.9754    0.1123  3.5641e-15  4.1043e-16  3.6541e-15
1145.6473  -1864.75    1.0929    0.1187  3.9934e-15  4.3373e-16  3.6538e-15
1145.6772  -1856.97    1.1183    0.1200  4.0857e-15  4.3858e-16  3.6536e-15
1145.7071  -1849.19    0.9581    0.1113  3.5000e-15  4.0658e-16  3.6533e-15
1145.7371  -1841.41    1.0406    0.1159  3.8014e-15  4.2322e-16  3.6530e-15
1145.7670  -1833.64    0.9179    0.1090  3.3527e-15  3.9807e-16  3.6527e-15
1145.7969  -1825.86    0.9260    0.1094  3.3822e-15  3.9966e-16  3.6524e-15
1145.8268  -1818.08    0.9143    0.1087  3.3391e-15  3.9703e-16  3.6521e-15
1145.8567  -1810.30    0.9791    0.1124  3.5756e-15  4.1051e-16  3.6519e-15
1145.8866  -1802.52    0.8987    0.1078  3.2818e-15  3.9359e-16  3.6516e-15
1145.9165  -1794.75    1.0631    0.1170  3.8815e-15  4.2710e-16  3.6513e-15
1145.9464  -1786.97    0.8166    0.1029  2.9814e-15  3.7558e-16  3.6510e-15
1145.9763  -1779.19    1.0123    0.1142  3.6955e-15  4.1693e-16  3.6507e-15
1146.0062  -1771.41    1.0123    0.1142  3.6952e-15  4.1680e-16  3.6504e-15
1146.0362  -1763.63    0.9613    0.1113  3.5090e-15  4.0630e-16  3.6501e-15
1146.0661  -1755.85    1.3449    0.1311  4.9086e-15  4.7853e-16  3.6499e-15
1146.0960  -1748.08    1.0533    0.1163  3.8441e-15  4.2444e-16  3.6496e-15
1146.1259  -1740.30    0.8298    0.1035  3.0280e-15  3.7774e-16  3.6493e-15
1146.1558  -1732.52    1.2444    0.1262  4.5406e-15  4.6033e-16  3.6490e-15
1146.1857  -1724.74    0.9982    0.1133  3.6423e-15  4.1324e-16  3.6487e-15
1146.2156  -1716.96    0.9110    0.1083  3.3237e-15  3.9518e-16  3.6484e-15
1146.2455  -1709.19    0.9978    0.1132  3.6400e-15  4.1300e-16  3.6481e-15
1146.2754  -1701.41    0.9622    0.1112  3.5098e-15  4.0579e-16  3.6478e-15
1146.3053  -1693.63    0.7310    0.0973  2.6662e-15  3.5502e-16  3.6475e-15
