# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1241.2098  -2245.78    1.0690    0.1030  2.8045e-15  2.7028e-16  2.6234e-15
1241.2397  -2238.61    1.0938    0.1042  2.8695e-15  2.7338e-16  2.6234e-15
1241.2696  -2231.44    1.0451    0.1019  2.7418e-15  2.6735e-16  2.6234e-15
1241.2995  -2224.27    0.8962    0.0945  2.3510e-15  2.4793e-16  2.6234e-15
1241.3294  -2217.10    0.9677    0.0981  2.5385e-15  2.5739e-16  2.6234e-15
1241.3593  -2209.93    0.9299    0.0962  2.4394e-15  2.5245e-16  2.6233e-15
1241.3892  -2202.76    1.0892    0.1040  2.8573e-15  2.7279e-16  2.6233e-15
1241.4191  -2195.59    1.0864    0.1039  2.8500e-15  2.7246e-16  2.6233e-15
1241.4491  -2188.42    1.1519    0.1069  3.0219e-15  2.8049e-16  2.6233e-15
1241.4790  -2181.25    1.0018    0.0999  2.6280e-15  2.6194e-16  2.6233e-15
1241.5089  -2174.08    0.9395    0.0968  2.4645e-15  2.5388e-16  2.6233e-15
1241.5388  -2166.91    0.9425    0.0970  2.4725e-15  2.5436e-16  2.6232e-15
1241.5687  -2159.74    0.8887    0.0942  2.3313e-15  2.4711e-16  2.6232e-15
1241.5986  -2152.57    1.0068    0.1001  2.6410e-15  2.6261e-16  2.6232e-15
1241.6285  -2145.40    1.0502    0.1022  2.7549e-15  2.6812e-16  2.6232e-15
1241.6584  -2138.23    0.8391    0.0916  2.2012e-15  2.4029e-16  2.6232e-15
1241.6883  -2131.06    0.8776    0.0936  2.3022e-15  2.4559e-16  2.6232e-15
1241.7182  -2123.89    0.9663    0.0982  2.5349e-15  2.5747e-16  2.6232e-15
1241.7482  -2116.72    0.9797    0.0988  2.5700e-15  2.5920e-16  2.6232e-15
1241.7781  -2109.55    1.0004    0.0998  2.6243e-15  2.6190e-16  2.6232e-15
1241.8080  -2102.38    1.0066    0.1002  2.6405e-15  2.6274e-16  2.6232e-15
1241.8379  -2095.21    1.1065    0.1049  2.9026e-15  2.7523e-16  2.6232e-15
1241.8678  -2088.04    0.9658    0.0982  2.5336e-15  2.5754e-16  2.6232e-15
1241.8977  -2080.87    0.9783    0.0988  2.5663e-15  2.5913e-16  2.6232e-15
1241.9276  -2073.70    1.0061    0.1001  2.6392e-15  2.6270e-16  2.6232e-15
1241.9575  -2066.53    0.9663    0.0982  2.5348e-15  2.5752e-16  2.6232e-15
1241.9874  -2059.36    0.9369    0.0967  2.4578e-15  2.5368e-16  2.6232e-15
1242.0173  -2052.19    0.9662    0.0982  2.5345e-15  2.5748e-16  2.6232e-15
1242.0473  -2045.02    0.9370    0.0967  2.4579e-15  2.5371e-16  2.6232e-15
1242.0772  -2037.85    0.8187    0.0906  2.1477e-15  2.3760e-16  2.6232e-15
1242.1071  -2030.68    0.9795    0.0988  2.5695e-15  2.5922e-16  2.6232e-15
1242.1370  -2023.51    1.0384    0.1017  2.7239e-15  2.6668e-16  2.6233e-15
1242.1669  -2016.34    1.0283    0.1012  2.6974e-15  2.6540e-16  2.6233e-15
1242.1968  -2009.17    0.8791    0.0937  2.3061e-15  2.4581e-16  2.6233e-15
1242.2267  -2002.00    0.8767    0.0936  2.2998e-15  2.4543e-16  2.6233e-15
1242.2566  -1994.83    0.8832    0.0939  2.3170e-15  2.4635e-16  2.6233e-15
1242.2865  -1987.66    0.8476    0.0921  2.2235e-15  2.4151e-16  2.6233e-15
1242.3164  -1980.49    0.9268    0.0961  2.4314e-15  2.5222e-16  2.6234e-15
1242.3464  -1973.32    0.9108    0.0953  2.3893e-15  2.5008e-16  2.6234e-15
1242.3763  -1966.15    0.9320    0.0964  2.4450e-15  2.5283e-16  2.6234e-15
1242.4062  -1958.98    0.9911    0.0993  2.6000e-15  2.6053e-16  2.6234e-15
1242.4361  -1951.81    1.0139    0.1004  2.6599e-15  2.6338e-16  2.6234e-15
1242.4660  -1944.64    0.9484    0.0972  2.4881e-15  2.5489e-16  2.6235e-15
1242.4959  -1937.47    0.8945    0.0944  2.3466e-15  2.4772e-16  2.6235e-15
1242.5258  -1930.30    0.8057    0.0897  2.1138e-15  2.3545e-16  2.6235e-15
1242.5557  -1923.13    0.9838    0.0989  2.5810e-15  2.5947e-16  2.6236e-15
1242.5856  -1915.96    0.8735    0.0933  2.2916e-15  2.4488e-16  2.6236e-15
1242.6155  -1908.79    0.9139    0.0954  2.3978e-15  2.5028e-16  2.6236e-15
1242.6455  -1901.62    1.0258    0.1009  2.6913e-15  2.6475e-16  2.6237e-15
1242.6754  -1894.45    1.0328    0.1012  2.7098e-15  2.6558e-16  2.6237e-15
1242.7053  -1887.28    0.8715    0.0931  2.2866e-15  2.4436e-16  2.6237e-15
1242.7352  -1880.11    0.8285    0.0909  2.1737e-15  2.3839e-16  2.6238e-15
1242.7651  -1872.93    0.9739    0.0983  2.5553e-15  2.5803e-16  2.6238e-15
1242.7950  -1865.76    1.0043    0.0998  2.6351e-15  2.6194e-16  2.6238e-15
1242.8249  -1858.59    0.9609    0.0977  2.5213e-15  2.5641e-16  2.6239e-15
1242.8548  -1851.42    1.0192    0.1006  2.6743e-15  2.6389e-16  2.6239e-15
1242.8847  -1844.25    0.9457    0.0969  2.4815e-15  2.5438e-16  2.6240e-15
1242.9146  -1837.08    0.9561    0.0975  2.5089e-15  2.5581e-16  2.6240e-15
1242.9446  -1829.91    0.9292    0.0961  2.4381e-15  2.5221e-16  2.6240e-15
1242.9745  -1822.74    0.9803    0.0987  2.5723e-15  2.5891e-16  2.6241e-15
1243.0044  -1815.57    0.9942    0.0994  2.6089e-15  2.6072e-16  2.6241e-15
1243.0343  -1808.40    1.0952    0.1042  2.8741e-15  2.7331e-16  2.6242e-15
1243.0642  -1801.23    0.9600    0.0976  2.5193e-15  2.5619e-16  2.6242e-15
1243.0941  -1794.06    1.0707    0.1030  2.8097e-15  2.7026e-16  2.6243e-15
1243.1240  -1786.89    1.1146    0.1050  2.9250e-15  2.7563e-16  2.6243e-15
1243.1539  -1779.72    0.9856    0.0989  2.5867e-15  2.5955e-16  2.6244e-15
1243.1838  -1772.55    0.9682    0.0981  2.5410e-15  2.5735e-16  2.6244e-15
1243.2137  -1765.38    1.1485    0.1066  3.0142e-15  2.7983e-16  2.6245e-15
