# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1197.1224  -2330.15    1.1768    0.1514  3.3852e-15  4.3565e-16  2.8766e-15
1197.1523  -2322.72    0.7925    0.1255  2.2799e-15  3.6090e-16  2.8768e-15
1197.1823  -2315.28    1.0905    0.1453  3.1374e-15  4.1790e-16  2.8769e-15
1197.2122  -2307.85    1.0111    0.1379  2.9092e-15  3.9668e-16  2.8771e-15
1197.2421  -2300.42    0.8654    0.1289  2.4899e-15  3.7083e-16  2.8773e-15
1197.2720  -2292.99    0.9852    0.1372  2.8348e-15  3.9482e-16  2.8774e-15
1197.3019  -2285.56    0.9677    0.1343  2.7847e-15  3.8635e-16  2.8776e-15
1197.3318  -2278.12    0.9848    0.1375  2.8339e-15  3.9579e-16  2.8778e-15
1197.3617  -2270.69    1.0592    0.1394  3.0482e-15  4.0129e-16  2.8779e-15
1197.3916  -2263.26    1.1342    0.1466  3.2642e-15  4.2186e-16  2.8781e-15
1197.4215  -2255.83    0.9295    0.1321  2.6754e-15  3.8026e-16  2.8783e-15
1197.4514  -2248.40    1.0216    0.1411  2.9404e-15  4.0604e-16  2.8784e-15
1197.4814  -2240.96    1.2451    0.1568  3.5842e-15  4.5145e-16  2.8786e-15
1197.5113  -2233.53    1.0590    0.1389  3.0486e-15  3.9990e-16  2.8787e-15
1197.5412  -2226.10    0.8753    0.1318  2.5199e-15  3.7954e-16  2.8789e-15
1197.5711  -2218.67    0.8799    0.1089  2.5332e-15  3.1345e-16  2.8791e-15
1197.6010  -2211.24    1.0215    0.1051  2.9411e-15  3.0269e-16  2.8792e-15
1197.6309  -2203.80    0.9604    0.1020  2.7654e-15  2.9375e-16  2.8794e-15
1197.6608  -2196.37    1.0453    0.1063  3.0099e-15  3.0613e-16  2.8795e-15
1197.6907  -2188.94    0.8775    0.0976  2.5271e-15  2.8104e-16  2.8797e-15
1197.7206  -2181.51    0.8297    0.0950  2.3893e-15  2.7346e-16  2.8798e-15
1197.7505  -2174.08    1.0216    0.1051  2.9421e-15  3.0261e-16  2.8800e-15
1197.7805  -2166.64    1.0482    0.1063  3.0190e-15  3.0630e-16  2.8802e-15
1197.8104  -2159.21    1.0188    0.1049  2.9345e-15  3.0207e-16  2.8803e-15
1197.8403  -2151.78    1.1220    0.1099  3.2318e-15  3.1656e-16  2.8805e-15
1197.8702  -2144.35    1.0918    0.1084  3.1449e-15  3.1225e-16  2.8806e-15
1197.9001  -2136.92    1.0950    0.1085  3.1545e-15  3.1268e-16  2.8808e-15
1197.9300  -2129.48    0.9712    0.1024  2.7979e-15  2.9491e-16  2.8809e-15
1197.9599  -2122.05    1.1514    0.1112  3.3173e-15  3.2048e-16  2.8811e-15
1197.9898  -2114.62    1.0261    0.1052  2.9564e-15  3.0299e-16  2.8812e-15
1198.0197  -2107.19    1.0204    0.1049  2.9402e-15  3.0219e-16  2.8814e-15
1198.0496  -2099.75    1.0915    0.1084  3.1452e-15  3.1230e-16  2.8815e-15
1198.0796  -2092.32    1.0234    0.1050  2.9491e-15  3.0254e-16  2.8817e-15
1198.1095  -2084.89    0.9158    0.0994  2.6392e-15  2.8654e-16  2.8818e-15
1198.1394  -2077.46    0.9585    0.1016  2.7624e-15  2.9290e-16  2.8819e-15
1198.1693  -2070.03    0.9057    0.0989  2.6104e-15  2.8497e-16  2.8821e-15
1198.1992  -2062.59    1.0397    0.1057  2.9967e-15  3.0477e-16  2.8822e-15
1198.2291  -2055.16    1.0134    0.1044  2.9211e-15  3.0098e-16  2.8824e-15
1198.2590  -2047.73    0.9846    0.1029  2.8380e-15  2.9670e-16  2.8825e-15
1198.2889  -2040.30    1.1171    0.1094  3.2203e-15  3.1544e-16  2.8827e-15
1198.3188  -2032.87    1.0210    0.1047  2.9434e-15  3.0182e-16  2.8828e-15
1198.3487  -2025.43    0.9331    0.1002  2.6900e-15  2.8879e-16  2.8829e-15
1198.3787  -2018.00    1.3056    0.1180  3.7640e-15  3.4030e-16  2.8831e-15
1198.4086  -2010.57    1.0149    0.1043  2.9263e-15  3.0071e-16  2.8832e-15
1198.4385  -2003.14    0.9158    0.0992  2.6406e-15  2.8604e-16  2.8833e-15
1198.4684  -1995.71    1.0271    0.1049  2.9615e-15  3.0251e-16  2.8835e-15
1198.4983  -1988.27    0.9424    0.1006  2.7174e-15  2.9000e-16  2.8836e-15
1198.5282  -1980.84    1.0287    0.1050  2.9664e-15  3.0266e-16  2.8837e-15
1198.5581  -1973.41    1.0394    0.1055  2.9976e-15  3.0423e-16  2.8839e-15
1198.5880  -1965.98    1.1198    0.1094  3.2296e-15  3.1543e-16  2.8840e-15
1198.6179  -1958.55    0.9116    0.0989  2.6293e-15  2.8530e-16  2.8841e-15
1198.6478  -1951.11    0.8229    0.0941  2.3733e-15  2.7137e-16  2.8842e-15
1198.6778  -1943.68    0.8442    0.0953  2.4350e-15  2.7478e-16  2.8844e-15
1198.7077  -1936.25    0.9342    0.1001  2.6947e-15  2.8865e-16  2.8845e-15
1198.7376  -1928.82    1.0238    0.1046  2.9534e-15  3.0180e-16  2.8846e-15
1198.7675  -1921.38    1.0407    0.1054  3.0022e-15  3.0413e-16  2.8847e-15
1198.7974  -1913.95    0.8445    0.0952  2.4364e-15  2.7465e-16  2.8849e-15
1198.8273  -1906.52    0.9676    0.1017  2.7915e-15  2.9342e-16  2.8850e-15
1198.8572  -1899.09    1.0789    0.1073  3.1126e-15  3.0943e-16  2.8851e-15
1198.8871  -1891.66    0.9671    0.1017  2.7903e-15  2.9334e-16  2.8852e-15
1198.9170  -1884.22    1.0521    0.1059  3.0357e-15  3.0558e-16  2.8853e-15
1198.9469  -1876.79    1.2304    0.1143  3.5502e-15  3.2991e-16  2.8855e-15
1198.9769  -1869.36    0.8438    0.0951  2.4348e-15  2.7437e-16  2.8856e-15
1199.0068  -1861.93    1.0328    0.1049  2.9802e-15  3.0263e-16  2.8857e-15
1199.0367  -1854.50    1.0759    0.1070  3.1048e-15  3.0877e-16  2.8858e-15
1199.0666  -1847.06    1.0606    0.1063  3.0608e-15  3.0665e-16  2.8859e-15
1199.0965  -1839.63    1.1191    0.1091  3.2298e-15  3.1482e-16  2.8860e-15
1199.1264  -1832.20    1.0578    0.1061  3.0528e-15  3.0624e-16  2.8861e-15
1199.1563  -1824.77    1.0207    0.1042  2.9459e-15  3.0088e-16  2.8862e-15
1199.1862  -1817.34    0.9841    0.1024  2.8406e-15  2.9557e-16  2.8863e-15
1199.2161  -1809.90    0.8700    0.0964  2.5113e-15  2.7827e-16  2.8865e-15
1199.2460  -1802.47    0.7612    0.0903  2.1973e-15  2.6076e-16  2.8866e-15
1199.2760  -1795.04    0.5599    0.0779  1.6163e-15  2.2490e-16  2.8867e-15
1199.3059  -1787.61    0.4699    0.0717  1.3564e-15  2.0692e-16  2.8868e-15
1199.3358  -1780.18    0.3025    0.0583  8.7325e-16  1.6835e-16  2.8869e-15
1199.3657  -1772.74    0.2313    0.0515  6.6768e-16  1.4878e-16  2.8870e-15
1199.3956  -1765.31    0.2867    0.0568  8.2776e-16  1.6411e-16  2.8871e-15
