# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1393.4816  -1985.69    0.5924    0.1256  1.4992e-15  3.1797e-16  2.5308e-15
1393.5115  -1979.29    0.5130    0.1172  1.2991e-15  2.9678e-16  2.5322e-15
1393.5414  -1972.90    0.6001    0.1246  1.5204e-15  3.1576e-16  2.5336e-15
1393.5713  -1966.51    0.4944    0.1093  1.2534e-15  2.7709e-16  2.5349e-15
1393.6012  -1960.12    0.7177    0.1359  1.8203e-15  3.4473e-16  2.5363e-15
1393.6311  -1953.73    0.8482    0.1464  2.1525e-15  3.7164e-16  2.5377e-15
1393.6610  -1947.33    0.8339    0.1456  2.1172e-15  3.6958e-16  2.5391e-15
1393.6910  -1940.94    0.9338    0.1568  2.3722e-15  3.9846e-16  2.5404e-15
1393.7209  -1934.55    0.7768    0.1460  1.9745e-15  3.7114e-16  2.5418e-15
1393.7508  -1928.16    0.9780    0.1309  2.4872e-15  3.3298e-16  2.5432e-15
1393.7807  -1921.76    0.8853    0.1164  2.2527e-15  2.9611e-16  2.5446e-15
1393.8106  -1915.37    0.9069    0.1177  2.3091e-15  2.9965e-16  2.5460e-15
1393.8405  -1908.98    1.0187    0.1245  2.5950e-15  3.1716e-16  2.5475e-15
1393.8704  -1902.59    0.9858    0.1225  2.5126e-15  3.1214e-16  2.5489e-15
1393.9003  -1896.20    1.0311    0.1251  2.6297e-15  3.1912e-16  2.5503e-15
1393.9302  -1889.80    1.1152    0.1300  2.8457e-15  3.3170e-16  2.5517e-15
1393.9601  -1883.41    1.0257    0.1248  2.6188e-15  3.1853e-16  2.5531e-15
1393.9901  -1877.02    0.9183    0.1182  2.3458e-15  3.0187e-16  2.5546e-15
1394.0200  -1870.63    0.8216    0.1120  2.1000e-15  2.8622e-16  2.5560e-15
1394.0499  -1864.24    1.0861    0.1282  2.7776e-15  3.2788e-16  2.5575e-15
1394.0798  -1857.84    1.0700    0.1273  2.7380e-15  3.2571e-16  2.5589e-15
1394.1097  -1851.45    0.9534    0.1203  2.4409e-15  3.0801e-16  2.5603e-15
1394.1396  -1845.06    1.0793    0.1278  2.7649e-15  3.2736e-16  2.5618e-15
1394.1695  -1838.67    1.0655    0.1269  2.7311e-15  3.2537e-16  2.5633e-15
1394.1994  -1832.27    0.9613    0.1207  2.4654e-15  3.0960e-16  2.5647e-15
1394.2293  -1825.88    0.8502    0.1136  2.1818e-15  2.9160e-16  2.5662e-15
1394.2592  -1819.49    1.0012    0.1230  2.5706e-15  3.1577e-16  2.5676e-15
1394.2892  -1813.10    0.9227    0.1181  2.3705e-15  3.0350e-16  2.5691e-15
1394.3191  -1806.71    1.0111    0.1235  2.5992e-15  3.1748e-16  2.5706e-15
1394.3490  -1800.31    0.9552    0.1201  2.4569e-15  3.0890e-16  2.5721e-15
1394.3789  -1793.92    1.0406    0.1251  2.6780e-15  3.2203e-16  2.5735e-15
1394.4088  -1787.53    1.1119    0.1292  2.8631e-15  3.3281e-16  2.5750e-15
1394.4387  -1781.14    1.1208    0.1297  2.8877e-15  3.3411e-16  2.5765e-15
1394.4686  -1774.74    0.8580    0.1138  2.2119e-15  2.9345e-16  2.5780e-15
1394.4985  -1768.35    0.9660    0.1206  2.4918e-15  3.1104e-16  2.5795e-15
1394.5284  -1761.96    1.0310    0.1244  2.6611e-15  3.2113e-16  2.5810e-15
1394.5583  -1755.57    1.1824    0.1330  3.0534e-15  3.4351e-16  2.5825e-15
1394.5883  -1749.18    0.9447    0.1191  2.4412e-15  3.0783e-16  2.5840e-15
1394.6182  -1742.78    1.0201    0.1236  2.6375e-15  3.1962e-16  2.5855e-15
1394.6481  -1736.39    0.8844    0.1153  2.2879e-15  2.9831e-16  2.5870e-15
1394.6780  -1730.00    0.6832    0.1018  1.7684e-15  2.6344e-16  2.5885e-15
1394.7079  -1723.61    0.9520    0.1195  2.4656e-15  3.0944e-16  2.5900e-15
1394.7378  -1717.21    1.0354    0.1337  2.6833e-15  3.4658e-16  2.5915e-15
1394.7677  -1710.82    1.0126    0.1710  2.6258e-15  4.4337e-16  2.5931e-15
1394.7976  -1704.43    1.0009    0.1662  2.5968e-15  4.3129e-16  2.5946e-15
1394.8275  -1698.04    1.1458    0.1778  2.9746e-15  4.6147e-16  2.5961e-15
1394.8574  -1691.65    1.2137    0.1803  3.1527e-15  4.6826e-16  2.5976e-15
1394.8874  -1685.25    0.8437    0.1581  2.1928e-15  4.1106e-16  2.5992e-15
1394.9173  -1678.86    0.9556    0.1634  2.4853e-15  4.2508e-16  2.6007e-15
1394.9472  -1672.47    0.9627    0.1616  2.5052e-15  4.2063e-16  2.6022e-15
1394.9771  -1666.08    0.9661    0.1628  2.5154e-15  4.2385e-16  2.6038e-15
1395.0070  -1659.68    0.9094    0.1595  2.3691e-15  4.1549e-16  2.6053e-15
1395.0369  -1653.29    0.9514    0.1564  2.4802e-15  4.0778e-16  2.6068e-15
1395.0668  -1646.90    1.1019    0.1750  2.8742e-15  4.5660e-16  2.6084e-15
1395.0967  -1640.51    0.7507    0.1460  1.9593e-15  3.8096e-16  2.6099e-15
1395.1266  -1634.12    1.1014    0.1742  2.8763e-15  4.5489e-16  2.6115e-15
1395.1565  -1627.72    0.9578    0.1611  2.5028e-15  4.2083e-16  2.6130e-15
1395.1865  -1621.33    0.8845    0.1590  2.3125e-15  4.1564e-16  2.6146e-15
1395.2164  -1614.94    0.8045    0.1392  2.1046e-15  3.6403e-16  2.6161e-15
1395.2463  -1608.55    0.8112    0.1411  2.1234e-15  3.6934e-16  2.6177e-15
1395.2762  -1602.16    0.8953    0.1420  2.3449e-15  3.7193e-16  2.6192e-15
1395.3061  -1595.76    0.9246    0.1419  2.4231e-15  3.7194e-16  2.6208e-15
1395.3360  -1589.37    1.0186    0.1173  2.6712e-15  3.0769e-16  2.6223e-15
1395.3659  -1582.98    0.9562    0.1115  2.5090e-15  2.9248e-16  2.6239e-15
1395.3958  -1576.59    0.9583    0.1116  2.5160e-15  2.9293e-16  2.6255e-15
1395.4257  -1570.19    0.9450    0.1093  2.4825e-15  2.8723e-16  2.6270e-15
1395.4556  -1563.80    1.0511    0.1157  2.7629e-15  3.0416e-16  2.6286e-15
1395.4856  -1557.41    1.0931    0.1186  2.8749e-15  3.1184e-16  2.6301e-15
1395.5155  -1551.02    1.1514    0.1208  3.0302e-15  3.1797e-16  2.6317e-15
1395.5454  -1544.63    1.0153    0.1143  2.6735e-15  3.0090e-16  2.6333e-15
1395.5753  -1538.23    0.9942    0.1113  2.6196e-15  2.9334e-16  2.6348e-15
1395.6052  -1531.84    0.8561    0.1033  2.2569e-15  2.7227e-16  2.6364e-15
1395.6351  -1525.45    0.9381    0.1103  2.4748e-15  2.9107e-16  2.6380e-15
1395.6650  -1519.06    0.8814    0.1080  2.3266e-15  2.8496e-16  2.6395e-15
1395.6949  -1512.66    0.8929    0.1088  2.3581e-15  2.8734e-16  2.6411e-15
1395.7248  -1506.27    0.9924    0.1138  2.6226e-15  3.0071e-16  2.6427e-15
1395.7547  -1499.88    0.8839    0.1070  2.3373e-15  2.8306e-16  2.6443e-15
1395.7847  -1493.49    0.9689    0.1115  2.5636e-15  2.9492e-16  2.6458e-15
1395.8146  -1487.10    0.9738    0.1108  2.5782e-15  2.9343e-16  2.6474e-15
1395.8445  -1480.70    0.8787    0.1059  2.3276e-15  2.8054e-16  2.6490e-15
1395.8744  -1474.31    0.9550    0.1098  2.5313e-15  2.9112e-16  2.6506e-15
1395.9043  -1467.92    1.0717    0.1156  2.8422e-15  3.0664e-16  2.6521e-15
1395.9342  -1461.53    0.9008    0.1073  2.3904e-15  2.8482e-16  2.6537e-15
1395.9641  -1455.13    0.9768    0.1112  2.5937e-15  2.9538e-16  2.6553e-15
1395.9940  -1448.74    0.9216    0.1068  2.4486e-15  2.8365e-16  2.6569e-15
1396.0239  -1442.35    0.9712    0.1113  2.5819e-15  2.9597e-16  2.6584e-15
1396.0538  -1435.96    0.9605    0.1108  2.5550e-15  2.9462e-16  2.6600e-15
1396.0838  -1429.57    0.8507    0.1146  2.2641e-15  3.0504e-16  2.6616e-15
1396.1137  -1423.17    0.9672    0.1213  2.5758e-15  3.2304e-16  2.6632e-15
1396.1436  -1416.78    1.1697    0.1307  3.1170e-15  3.4833e-16  2.6647e-15
