# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1662.4853  -1489.87    1.1224    0.2116  4.5642e-15  8.6060e-16  4.0664e-15
1662.5220  -1483.29    1.2514    0.2226  5.0881e-15  9.0513e-16  4.0660e-15
1662.5587  -1476.70    0.9971    0.2003  4.0539e-15  8.1452e-16  4.0657e-15
1662.5954  -1470.12    1.0390    0.2043  4.2241e-15  8.3040e-16  4.0654e-15
1662.6321  -1463.54    1.2112    0.2194  4.9236e-15  8.9173e-16  4.0651e-15
1662.6688  -1456.95    0.6898    0.1693  2.8040e-15  6.8828e-16  4.0648e-15
1662.7055  -1450.37    1.2516    0.2228  5.0869e-15  9.0539e-16  4.0644e-15
1662.7422  -1443.79    1.0765    0.2077  4.3749e-15  8.4392e-16  4.0641e-15
1662.7788  -1437.20    0.7141    0.1719  2.9020e-15  6.9852e-16  4.0638e-15
1662.8155  -1430.62    1.0862    0.2085  4.4138e-15  8.4724e-16  4.0635e-15
1662.8522  -1424.04    0.9453    0.1955  3.8409e-15  7.9420e-16  4.0632e-15
1662.8889  -1417.45    1.0966    0.2094  4.4553e-15  8.5087e-16  4.0628e-15
1662.9256  -1410.87    1.0509    0.2110  4.2693e-15  8.5711e-16  4.0625e-15
1662.9623  -1404.29    1.0702    0.2646  4.3474e-15  1.0749e-15  4.0622e-15
1662.9990  -1397.70    1.0965    0.2698  4.4537e-15  1.0957e-15  4.0619e-15
1663.0357  -1391.12    1.0345    0.2718  4.2017e-15  1.1040e-15  4.0615e-15
1663.0724  -1384.54    1.3192    0.2929  5.3575e-15  1.1895e-15  4.0612e-15
1663.1091  -1377.95    0.7985    0.2422  3.2425e-15  9.8353e-16  4.0609e-15
1663.1457  -1371.37    1.1267    0.2918  4.5752e-15  1.1850e-15  4.0606e-15
1663.1824  -1364.79    1.0261    0.2628  4.1661e-15  1.0671e-15  4.0603e-15
1663.2191  -1358.20    1.0858    0.2737  4.4084e-15  1.1111e-15  4.0600e-15
1663.2558  -1351.62    0.8211    0.2586  3.3334e-15  1.0498e-15  4.0596e-15
1663.2925  -1345.04    1.1347    0.2747  4.6059e-15  1.1152e-15  4.0593e-15
1663.3292  -1338.45    1.1442    0.2819  4.6443e-15  1.1443e-15  4.0590e-15
1663.3659  -1331.87    0.6258    0.2244  2.5401e-15  9.1083e-16  4.0587e-15
1663.4026  -1325.29    0.8268    0.2551  3.3555e-15  1.0353e-15  4.0584e-15
1663.4393  -1318.70    1.0614    0.2791  4.3073e-15  1.1328e-15  4.0580e-15
1663.4760  -1312.12    1.3813    0.3086  5.6051e-15  1.2524e-15  4.0577e-15
1663.5126  -1305.54    1.0257    0.2651  4.1617e-15  1.0754e-15  4.0574e-15
1663.5493  -1298.95    0.7881    0.2405  3.1975e-15  9.7592e-16  4.0571e-15
1663.5860  -1292.37    0.9560    0.2574  3.8783e-15  1.0442e-15  4.0568e-15
1663.6227  -1285.79    1.1877    0.2989  4.8178e-15  1.2125e-15  4.0564e-15
1663.6594  -1279.20    1.0497    0.2787  4.2578e-15  1.1306e-15  4.0561e-15
1663.6961  -1272.62    1.1654    0.2845  4.7268e-15  1.1539e-15  4.0558e-15
1663.7328  -1266.04    0.6570    0.1733  2.6645e-15  7.0279e-16  4.0555e-15
1663.7695  -1259.45    0.7429    0.1748  3.0126e-15  7.0889e-16  4.0552e-15
1663.8062  -1252.87    0.7772    0.1785  3.1516e-15  7.2393e-16  4.0548e-15
1663.8429  -1246.29    1.0205    0.2026  4.1376e-15  8.2148e-16  4.0545e-15
1663.8795  -1239.70    0.9809    0.1989  3.9767e-15  8.0657e-16  4.0542e-15
1663.9162  -1233.12    0.8613    0.1874  3.4916e-15  7.5972e-16  4.0539e-15
1663.9529  -1226.54    0.7682    0.1778  3.1139e-15  7.2064e-16  4.0536e-15
1663.9896  -1219.95    1.0117    0.2019  4.1008e-15  8.1850e-16  4.0533e-15
1664.0263  -1213.37    1.0292    0.2036  4.1713e-15  8.2503e-16  4.0529e-15
1664.0630  -1206.79    1.1218    0.2121  4.5462e-15  8.5964e-16  4.0526e-15
1664.0997  -1200.20    0.6683    0.1669  2.7083e-15  6.7643e-16  4.0523e-15
1664.1364  -1193.62    0.9358    0.1947  3.7917e-15  7.8894e-16  4.0520e-15
1664.1731  -1187.04    0.8710    0.1883  3.5290e-15  7.6276e-16  4.0517e-15
1664.2098  -1180.45    0.9179    0.1929  3.7186e-15  7.8156e-16  4.0514e-15
