# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1325.8768  -1944.40    0.8503    0.1785  4.5206e-15  9.4912e-16  5.3162e-15
1325.9067  -1937.68    0.8699    0.1806  4.6246e-15  9.5992e-16  5.3165e-15
1325.9366  -1930.96    0.9550    0.1889  5.0774e-15  1.0042e-15  5.3168e-15
1325.9665  -1924.24    1.0485    0.1974  5.5752e-15  1.0498e-15  5.3171e-15
1325.9964  -1917.52    0.8379    0.1774  4.4557e-15  9.4329e-16  5.3174e-15
1326.0263  -1910.80    0.9717    0.1904  5.1675e-15  1.0125e-15  5.3178e-15
1326.0562  -1904.08    0.8112    0.1748  4.3138e-15  9.2937e-16  5.3181e-15
1326.0861  -1897.36    0.8297    0.1766  4.4126e-15  9.3919e-16  5.3184e-15
1326.1161  -1890.64    1.4560    0.2313  7.7441e-15  1.2304e-15  5.3187e-15
1326.1460  -1883.92    0.9700    0.1902  5.1597e-15  1.0119e-15  5.3190e-15
1326.1759  -1877.21    1.2364    0.2137  6.5770e-15  1.1368e-15  5.3194e-15
1326.2058  -1870.49    1.0002    0.1930  5.3206e-15  1.0266e-15  5.3197e-15
1326.2357  -1863.77    1.1217    0.2039  5.9676e-15  1.0848e-15  5.3200e-15
1326.2656  -1857.05    0.9422    0.1876  5.0131e-15  9.9808e-16  5.3203e-15
1326.2955  -1850.33    0.7980    0.1734  4.2459e-15  9.2244e-16  5.3207e-15
1326.3254  -1843.61    0.8468    0.1782  4.5059e-15  9.4839e-16  5.3210e-15
1326.3553  -1836.89    1.2713    0.2166  6.7652e-15  1.1524e-15  5.3213e-15
1326.3852  -1830.17    1.3907    0.2262  7.4010e-15  1.2038e-15  5.3217e-15
1326.4152  -1823.45    0.7298    0.1662  3.8840e-15  8.8439e-16  5.3220e-15
1326.4451  -1816.73    0.9918    0.1922  5.2785e-15  1.0232e-15  5.3223e-15
1326.4750  -1810.02    0.9416    0.1875  5.0119e-15  9.9821e-16  5.3227e-15
1326.5049  -1803.30    0.9875    0.1918  5.2562e-15  1.0212e-15  5.3230e-15
1326.5348  -1796.58    0.7927    0.1728  4.2195e-15  9.1966e-16  5.3233e-15
1326.5647  -1789.86    1.0269    0.1954  5.4667e-15  1.0404e-15  5.3237e-15
1326.5946  -1783.14    0.9893    0.2924  5.2671e-15  1.5566e-15  5.3240e-15
1326.6245  -1776.42    0.8040    0.3478  4.2809e-15  1.8516e-15  5.3243e-15
1326.6544  -1769.70    1.2908    0.4365  6.8731e-15  2.3245e-15  5.3247e-15
1326.6843  -1762.98    1.0844    0.4015  5.7746e-15  2.1378e-15  5.3250e-15
1326.7143  -1756.26    1.1221    0.4082  5.9755e-15  2.1738e-15  5.3253e-15
1326.7442  -1749.54    0.9325    0.3739  4.9663e-15  1.9911e-15  5.3257e-15
1326.7741  -1742.82    1.1423    0.4120  6.0842e-15  2.1942e-15  5.3260e-15
1326.8040  -1736.11    0.7949    0.3466  4.2341e-15  1.8464e-15  5.3264e-15
1326.8339  -1729.39    1.0475    0.3953  5.5800e-15  2.1055e-15  5.3267e-15
1326.8638  -1722.67    0.7992    0.3475  4.2576e-15  1.8509e-15  5.3270e-15
1326.8937  -1715.95    1.2654    0.4325  6.7415e-15  2.3040e-15  5.3274e-15
1326.9236  -1709.23    1.2827    0.4352  6.8337e-15  2.3186e-15  5.3277e-15
1326.9535  -1702.51    0.8851    0.3642  4.7158e-15  1.9406e-15  5.3281e-15
1326.9834  -1695.79    0.6519    0.3155  3.4733e-15  1.6809e-15  5.3284e-15
1327.0134  -1689.07    1.1653    0.4156  6.2095e-15  2.2148e-15  5.3288e-15
1327.0433  -1682.35    1.1222    0.4080  5.9803e-15  2.1742e-15  5.3291e-15
1327.0732  -1675.63    0.7362    0.3336  3.9236e-15  1.7781e-15  5.3295e-15
1327.1031  -1668.92    1.1423    0.3934  6.0881e-15  2.0969e-15  5.3298e-15
1327.1330  -1662.20    0.9962    0.1924  5.3100e-15  1.0256e-15  5.3301e-15
1327.1629  -1655.48    1.0076    0.1935  5.3711e-15  1.0312e-15  5.3305e-15
1327.1928  -1648.76    0.9675    0.1897  5.1576e-15  1.0115e-15  5.3308e-15
1327.2227  -1642.04    0.5965    0.1510  3.1799e-15  8.0523e-16  5.3312e-15
1327.2526  -1635.32    0.8293    0.1764  4.4215e-15  9.4059e-16  5.3315e-15
1327.2825  -1628.60    0.9005    0.1835  4.8011e-15  9.7827e-16  5.3319e-15
1327.3125  -1621.88    0.6898    0.1617  3.6780e-15  8.6228e-16  5.3322e-15
1327.3424  -1615.16    1.1137    0.2032  5.9390e-15  1.0835e-15  5.3326e-15
1327.3723  -1608.44    1.1673    0.2078  6.2250e-15  1.1082e-15  5.3329e-15
1327.4022  -1601.72    1.1558    0.2069  6.1641e-15  1.1032e-15  5.3333e-15
1327.4321  -1595.01    1.1187    0.2036  5.9666e-15  1.0861e-15  5.3337e-15
1327.4620  -1588.29    1.2889    0.2180  6.8752e-15  1.1630e-15  5.3340e-15
1327.4919  -1581.57    1.3312    0.2215  7.1014e-15  1.1816e-15  5.3344e-15
1327.5218  -1574.85    1.0725    0.1996  5.7217e-15  1.0648e-15  5.3347e-15
1327.5517  -1568.13    1.1771    0.2087  6.2797e-15  1.1136e-15  5.3351e-15
1327.5816  -1561.41    1.1036    0.2024  5.8881e-15  1.0797e-15  5.3354e-15
1327.6116  -1554.69    0.9010    0.1837  4.8077e-15  9.7993e-16  5.3358e-15
1327.6415  -1547.97    0.8647    0.1801  4.6140e-15  9.6114e-16  5.3361e-15
1327.6714  -1541.25    1.1144    0.2033  5.9472e-15  1.0848e-15  5.3365e-15
