# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1160.0557  -2259.67    0.8220    0.1761  5.8555e-15  1.2547e-15  7.1238e-15
1160.0856  -2252.00    0.8737    0.1813  6.2250e-15  1.2917e-15  7.1247e-15
1160.1156  -2244.33    1.0765    0.2004  7.6711e-15  1.4282e-15  7.1256e-15
1160.1455  -2236.65    1.2717    0.2172  9.0625e-15  1.5478e-15  7.1265e-15
1160.1754  -2228.98    1.2943    0.2190  9.2250e-15  1.5612e-15  7.1274e-15
1160.2053  -2221.31    0.8787    0.1817  6.2640e-15  1.2954e-15  7.1283e-15
1160.2352  -2213.64    1.0116    0.1944  7.2122e-15  1.3862e-15  7.1292e-15
1160.2651  -2205.97    0.8934    0.1832  6.3697e-15  1.3062e-15  7.1300e-15
1160.2950  -2198.30    0.9441    0.1880  6.7320e-15  1.3407e-15  7.1309e-15
1160.3249  -2190.63    0.8753    0.1812  6.2425e-15  1.2926e-15  7.1317e-15
1160.3548  -2182.95    0.7280    0.1659  5.1923e-15  1.1831e-15  7.1326e-15
1160.3847  -2175.28    0.7282    0.1657  5.1944e-15  1.1823e-15  7.1334e-15
1160.4147  -2167.61    0.7933    0.1726  5.6594e-15  1.2315e-15  7.1343e-15
1160.4446  -2159.94    1.2320    0.2134  8.7903e-15  1.5227e-15  7.1351e-15
1160.4745  -2152.27    1.0519    0.1977  7.5060e-15  1.4107e-15  7.1359e-15
1160.5044  -2144.60    1.1186    0.2037  7.9832e-15  1.4534e-15  7.1367e-15
1160.5343  -2136.93    1.0534    0.1978  7.5187e-15  1.4118e-15  7.1375e-15
1160.5642  -2129.26    0.9480    0.1880  6.7668e-15  1.3417e-15  7.1383e-15
1160.5941  -2121.58    0.7772    0.1709  5.5483e-15  1.2201e-15  7.1391e-15
1160.6240  -2113.91    1.2870    0.2178  9.1888e-15  1.5551e-15  7.1399e-15
1160.6539  -2106.24    1.0304    0.1956  7.3574e-15  1.3964e-15  7.1407e-15
1160.6838  -2098.57    0.9770    0.1906  6.9771e-15  1.3610e-15  7.1415e-15
1160.7138  -2090.90    0.9755    0.1904  6.9675e-15  1.3599e-15  7.1423e-15
1160.7437  -2083.23    0.8497    0.1782  6.0696e-15  1.2726e-15  7.1430e-15
1160.7736  -2075.56    0.7742    0.1704  5.5307e-15  1.2172e-15  7.1437e-15
1160.8035  -2067.88    0.9887    0.1915  7.0636e-15  1.3682e-15  7.1443e-15
1160.8334  -2060.21    1.2452    0.2140  8.8966e-15  1.5291e-15  7.1450e-15
1160.8633  -2052.54    0.9092    0.1838  6.4965e-15  1.3131e-15  7.1456e-15
1160.8932  -2044.87    0.8201    0.1749  5.8605e-15  1.2498e-15  7.1462e-15
1160.9231  -2037.20    1.2083    0.2108  8.6357e-15  1.5064e-15  7.1467e-15
1160.9530  -2029.53    0.7928    0.1720  5.6665e-15  1.2296e-15  7.1472e-15
1160.9829  -2021.86    0.8186    0.1747  5.8510e-15  1.2488e-15  7.1477e-15
1161.0129  -2014.18    0.9533    0.1880  6.8141e-15  1.3435e-15  7.1482e-15
1161.0428  -2006.51    0.7601    0.1686  5.4340e-15  1.2054e-15  7.1486e-15
1161.0727  -1998.84    1.2419    0.2135  8.8787e-15  1.5264e-15  7.1490e-15
1161.1026  -1991.17    1.2134    0.2111  8.6748e-15  1.5089e-15  7.1494e-15
1161.1325  -1983.50    1.0557    0.1972  7.5478e-15  1.4102e-15  7.1498e-15
1161.1624  -1975.83    1.0108    0.1931  7.2277e-15  1.3810e-15  7.1501e-15
1161.1923  -1968.16    0.7922    0.1717  5.6643e-15  1.2280e-15  7.1504e-15
1161.2222  -1960.49    1.1739    0.2075  8.3939e-15  1.4837e-15  7.1507e-15
1161.2521  -1952.81    1.0979    0.2008  7.8510e-15  1.4359e-15  7.1510e-15
1161.2820  -1945.14    1.0329    0.1950  7.3861e-15  1.3942e-15  7.1512e-15
1161.3120  -1937.47    1.1036    0.2013  7.8926e-15  1.4394e-15  7.1514e-15
1161.3419  -1929.80    1.2830    0.2166  9.1758e-15  1.5488e-15  7.1516e-15
1161.3718  -1922.13    1.4431    0.2293  1.0321e-14  1.6400e-15  7.1517e-15
1161.4017  -1914.46    1.2128    0.2107  8.6740e-15  1.5069e-15  7.1518e-15
1161.4316  -1906.79    1.1877    0.2086  8.4944e-15  1.4916e-15  7.1519e-15
1161.4615  -1899.11    0.7555    0.1676  5.4031e-15  1.1990e-15  7.1520e-15
1161.4914  -1891.44    1.0437    0.1957  7.4646e-15  1.3999e-15  7.1521e-15
1161.5213  -1883.77    1.2331    0.2122  8.8191e-15  1.5178e-15  7.1521e-15
1161.5512  -1876.10    0.9933    0.1911  7.1041e-15  1.3667e-15  7.1521e-15
1161.5811  -1868.43    1.1343    0.2037  8.1127e-15  1.4571e-15  7.1521e-15
1161.6111  -1860.76    0.8879    0.1810  6.3506e-15  1.2944e-15  7.1520e-15
1161.6410  -1853.09    0.8824    0.1805  6.3112e-15  1.2907e-15  7.1520e-15
1161.6709  -1845.41    1.2448    0.2131  8.9025e-15  1.5244e-15  7.1519e-15
1161.7008  -1837.74    0.8293    0.1752  5.9312e-15  1.2533e-15  7.1518e-15
1161.7307  -1830.07    0.7747    0.1696  5.5403e-15  1.2132e-15  7.1516e-15
1161.7606  -1822.40    0.8971    0.1820  6.4155e-15  1.3014e-15  7.1515e-15
1161.7905  -1814.73    1.1961    0.2091  8.5538e-15  1.4953e-15  7.1513e-15
1161.8204  -1807.06    1.0220    0.1938  7.3082e-15  1.3859e-15  7.1511e-15
1161.8503  -1799.39    1.0207    0.1937  7.2986e-15  1.3849e-15  7.1509e-15
1161.8802  -1791.72    0.6542    0.1566  4.6781e-15  1.1198e-15  7.1506e-15
1161.9102  -1784.04    1.2082    0.2101  8.6392e-15  1.5022e-15  7.1504e-15
1161.9401  -1776.37    0.6987    0.1616  4.9957e-15  1.1555e-15  7.1501e-15
1161.9700  -1768.70    1.0710    0.1982  7.6575e-15  1.4169e-15  7.1498e-15
1161.9999  -1761.03    1.1131    0.2018  7.9583e-15  1.4429e-15  7.1495e-15
1162.0298  -1753.36    1.2727    0.2153  9.0984e-15  1.5393e-15  7.1491e-15
1162.0597  -1745.69    0.6491    0.1559  4.6406e-15  1.1144e-15  7.1487e-15
1162.0896  -1738.02    1.1651    0.2062  8.3286e-15  1.4743e-15  7.1483e-15
1162.1195  -1730.34    1.1017    0.2007  7.8748e-15  1.4348e-15  7.1479e-15
1162.1494  -1722.67    1.1791    0.2074  8.4280e-15  1.4823e-15  7.1475e-15
1162.1793  -1715.00    1.1080    0.2012  7.9189e-15  1.4379e-15  7.1471e-15
1162.2093  -1707.33    0.9045    0.1824  6.4640e-15  1.3038e-15  7.1466e-15
1162.2392  -1699.66    1.3901    0.2246  9.9335e-15  1.6049e-15  7.1461e-15
1162.2691  -1691.99    1.1268    0.2028  8.0515e-15  1.4490e-15  7.1456e-15
1162.2990  -1684.32    1.0284    0.1940  7.3477e-15  1.3863e-15  7.1451e-15
1162.3289  -1676.65    0.9808    0.1897  7.0071e-15  1.3550e-15  7.1445e-15
