# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1230.0750  -2116.50    0.8814    0.1070  5.8842e-15  7.1403e-16  6.6762e-15
1230.1050  -2109.27    1.0699    0.1176  7.1430e-15  7.8502e-16  6.6765e-15
1230.1349  -2102.03    1.1396    0.1213  7.6091e-15  8.0996e-16  6.6767e-15
1230.1648  -2094.79    1.0871    0.1185  7.2586e-15  7.9126e-16  6.6769e-15
1230.1947  -2087.55    0.8465    0.1049  5.6524e-15  7.0039e-16  6.6772e-15
1230.2246  -2080.31    0.9539    0.1111  6.3694e-15  7.4192e-16  6.6774e-15
1230.2545  -2073.08    1.0232    0.1150  6.8327e-15  7.6814e-16  6.6777e-15
1230.2844  -2065.84    0.8397    0.1044  5.6073e-15  6.9726e-16  6.6779e-15
1230.3143  -2058.60    0.9773    0.1124  6.5265e-15  7.5090e-16  6.6782e-15
1230.3442  -2051.36    0.9800    0.1126  6.5447e-15  7.5218e-16  6.6784e-15
1230.3741  -2044.12    0.9632    0.1117  6.4327e-15  7.4606e-16  6.6787e-15
1230.4041  -2036.88    0.9702    0.1120  6.4801e-15  7.4813e-16  6.6789e-15
1230.4340  -2029.65    1.0255    0.1151  6.8495e-15  7.6889e-16  6.6791e-15
1230.4639  -2022.41    1.0209    0.1149  6.8190e-15  7.6722e-16  6.6794e-15
1230.4938  -2015.17    0.9452    0.1106  6.3135e-15  7.3866e-16  6.6796e-15
1230.5237  -2007.93    0.9429    0.1105  6.2986e-15  7.3810e-16  6.6799e-15
1230.5536  -2000.69    0.8267    0.1036  5.5223e-15  6.9201e-16  6.6801e-15
1230.5835  -1993.46    0.8610    0.1057  5.7520e-15  7.0581e-16  6.6804e-15
1230.6134  -1986.22    0.7790    0.1006  5.2040e-15  6.7182e-16  6.6806e-15
1230.6433  -1978.98    0.9192    0.1090  6.1412e-15  7.2814e-16  6.6809e-15
1230.6732  -1971.74    0.6627    0.0929  4.4276e-15  6.2089e-16  6.6811e-15
1230.7032  -1964.50    0.8784    0.1066  5.8688e-15  7.1211e-16  6.6813e-15
1230.7331  -1957.26    0.7804    0.1005  5.2141e-15  6.7172e-16  6.6816e-15
1230.7630  -1950.03    0.8574    0.1053  5.7291e-15  7.0342e-16  6.6818e-15
1230.7929  -1942.79    0.6041    0.0888  4.0364e-15  5.9314e-16  6.6821e-15
1230.8228  -1935.55    0.6168    0.0897  4.1219e-15  5.9958e-16  6.6823e-15
1230.8527  -1928.31    0.6020    0.0887  4.0232e-15  5.9267e-16  6.6826e-15
1230.8826  -1921.07    0.5888    0.0877  3.9351e-15  5.8615e-16  6.6828e-15
1230.9125  -1913.84    0.5741    0.0866  3.8367e-15  5.7901e-16  6.6831e-15
1230.9424  -1906.60    0.7126    0.0962  4.7629e-15  6.4271e-16  6.6833e-15
1230.9723  -1899.36    0.6368    0.0910  4.2558e-15  6.0837e-16  6.6835e-15
1231.0023  -1892.12    0.6932    0.0948  4.6331e-15  6.3386e-16  6.6838e-15
1231.0322  -1884.88    0.5296    0.0832  3.5399e-15  5.5636e-16  6.6840e-15
1231.0621  -1877.64    0.5874    0.0875  3.9266e-15  5.8469e-16  6.6843e-15
1231.0920  -1870.41    0.5601    0.0855  3.7442e-15  5.7146e-16  6.6845e-15
1231.1219  -1863.17    0.6115    0.0893  4.0877e-15  5.9664e-16  6.6848e-15
1231.1518  -1855.93    0.5871    0.0874  3.9248e-15  5.8450e-16  6.6850e-15
1231.1817  -1848.69    0.4994    0.0809  3.3387e-15  5.4116e-16  6.6853e-15
1231.2116  -1841.45    0.6118    0.0893  4.0904e-15  5.9680e-16  6.6855e-15
1231.2415  -1834.22    0.6489    0.0919  4.3387e-15  6.1413e-16  6.6857e-15
1231.2714  -1826.98    0.8395    0.1041  5.6129e-15  6.9616e-16  6.6860e-15
1231.3014  -1819.74    0.8744    0.1062  5.8464e-15  7.0981e-16  6.6862e-15
1231.3313  -1812.50    0.8452    0.1044  5.6517e-15  6.9796e-16  6.6865e-15
1231.3612  -1805.26    1.0989    0.1187  7.3480e-15  7.9395e-16  6.6867e-15
1231.3911  -1798.02    0.8514    0.1047  5.6930e-15  7.0013e-16  6.6870e-15
1231.4210  -1790.79    0.9026    0.1077  6.0361e-15  7.2026e-16  6.6872e-15
1231.4509  -1783.55    1.0029    0.1134  6.7071e-15  7.5859e-16  6.6875e-15
1231.4808  -1776.31    0.9176    0.1085  6.1364e-15  7.2595e-16  6.6877e-15
1231.5107  -1769.07    0.9511    0.1104  6.3606e-15  7.3857e-16  6.6879e-15
1231.5406  -1761.83    1.0030    0.1134  6.7084e-15  7.5841e-16  6.6882e-15
1231.5705  -1754.60    0.9581    0.1109  6.4085e-15  7.4180e-16  6.6884e-15
1231.6005  -1747.36    1.0044    0.1135  6.7183e-15  7.5888e-16  6.6887e-15
1231.6304  -1740.12    0.9937    0.1128  6.6465e-15  7.5469e-16  6.6889e-15
1231.6603  -1732.88    0.9424    0.1099  6.3041e-15  7.3535e-16  6.6892e-15
1231.6902  -1725.64    0.9474    0.1102  6.3376e-15  7.3724e-16  6.6894e-15
