# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1250.8027  -2074.43    0.9201    0.1404  6.0197e-15  9.1869e-16  6.5426e-15
1250.8326  -2067.32    0.8132    0.1139  5.3196e-15  7.4517e-16  6.5416e-15
1250.8625  -2060.20    0.8606    0.1031  5.6288e-15  6.7460e-16  6.5406e-15
1250.8924  -2053.08    0.9316    0.1072  6.0925e-15  7.0073e-16  6.5397e-15
1250.9223  -2045.96    0.9506    0.1082  6.2159e-15  7.0780e-16  6.5387e-15
1250.9522  -2038.84    1.0461    0.1134  6.8388e-15  7.4148e-16  6.5377e-15
1250.9821  -2031.72    0.9801    0.1098  6.4068e-15  7.1792e-16  6.5367e-15
1251.0120  -2024.60    1.0736    0.1149  7.0168e-15  7.5081e-16  6.5358e-15
1251.0420  -2017.48    0.9837    0.1100  6.4282e-15  7.1883e-16  6.5348e-15
1251.0719  -2010.36    0.8435    0.1020  5.5112e-15  6.6665e-16  6.5338e-15
1251.1018  -2003.24    0.9182    0.1064  5.9984e-15  6.9484e-16  6.5328e-15
1251.1317  -1996.12    0.8975    0.1052  5.8624e-15  6.8702e-16  6.5318e-15
1251.1616  -1989.00    1.0480    0.1135  6.8442e-15  7.4118e-16  6.5308e-15
1251.1915  -1981.88    1.0282    0.1124  6.7140e-15  7.3413e-16  6.5299e-15
1251.2214  -1974.77    1.0760    0.1150  7.0249e-15  7.5053e-16  6.5289e-15
1251.2513  -1967.65    0.9263    0.1068  6.0468e-15  6.9719e-16  6.5279e-15
1251.2812  -1960.53    1.0534    0.1138  6.8752e-15  7.4271e-16  6.5269e-15
1251.3111  -1953.41    1.2305    0.1229  8.0304e-15  8.0185e-16  6.5259e-15
1251.3411  -1946.29    0.9918    0.1105  6.4717e-15  7.2097e-16  6.5249e-15
1251.3710  -1939.17    1.0966    0.1160  7.1540e-15  7.5704e-16  6.5239e-15
1251.4009  -1932.05    0.9635    0.1090  6.2845e-15  7.1100e-16  6.5229e-15
1251.4308  -1924.93    1.0194    0.1121  6.6482e-15  7.3085e-16  6.5219e-15
1251.4607  -1917.81    0.9549    0.1085  6.2268e-15  7.0773e-16  6.5209e-15
1251.4906  -1910.69    0.8417    0.1021  5.4877e-15  6.6536e-16  6.5199e-15
1251.5205  -1903.57    0.9165    0.1063  5.9749e-15  6.9319e-16  6.5189e-15
1251.5504  -1896.45    1.0500    0.1137  6.8438e-15  7.4095e-16  6.5179e-15
1251.5803  -1889.33    0.7972    0.0993  5.1955e-15  6.4703e-16  6.5169e-15
1251.6102  -1882.22    0.7869    0.0987  5.1270e-15  6.4322e-16  6.5159e-15
1251.6402  -1875.10    0.8716    0.1038  5.6783e-15  6.7607e-16  6.5148e-15
1251.6701  -1867.98    1.0937    0.1160  7.1239e-15  7.5545e-16  6.5138e-15
1251.7000  -1860.86    1.2360    0.1232  8.0496e-15  8.0223e-16  6.5128e-15
1251.7299  -1853.74    1.2198    0.1224  7.9432e-15  7.9677e-16  6.5118e-15
1251.7598  -1846.62    0.9579    0.1087  6.2368e-15  7.0751e-16  6.5108e-15
1251.7897  -1839.50    0.8068    0.0999  5.2521e-15  6.5012e-16  6.5098e-15
