# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1251.7000  -2074.56    1.2360    0.1232  8.0496e-15  8.0223e-16  6.5128e-15
1251.7299  -2067.45    1.2198    0.1224  7.9432e-15  7.9677e-16  6.5118e-15
1251.7598  -2060.34    0.9579    0.1087  6.2368e-15  7.0751e-16  6.5108e-15
1251.7897  -2053.22    0.8068    0.0999  5.2521e-15  6.5012e-16  6.5098e-15
1251.8196  -2046.11    0.9501    0.1082  6.1840e-15  7.0451e-16  6.5087e-15
1251.8495  -2038.99    1.0327    0.1127  6.7203e-15  7.3359e-16  6.5077e-15
1251.8794  -2031.88    0.9820    0.1100  6.3893e-15  7.1555e-16  6.5067e-15
1251.9093  -2024.76    0.9112    0.1060  5.9278e-15  6.8974e-16  6.5057e-15
1251.9393  -2017.65    0.8313    0.1013  5.4071e-15  6.5918e-16  6.5047e-15
1251.9692  -2010.54    0.9218    0.1066  5.9951e-15  6.9342e-16  6.5036e-15
1251.9991  -2003.42    0.8547    0.1028  5.5576e-15  6.6861e-16  6.5026e-15
1252.0290  -1996.31    1.0361    0.1130  6.7360e-15  7.3457e-16  6.5016e-15
1252.0589  -1989.19    1.0686    0.1147  6.9465e-15  7.4568e-16  6.5005e-15
1252.0888  -1982.08    0.7346    0.0955  4.7745e-15  6.2052e-16  6.4995e-15
1252.1187  -1974.97    0.7199    0.0946  4.6779e-15  6.1450e-16  6.4985e-15
1252.1486  -1967.85    0.9111    0.1061  5.9197e-15  6.8957e-16  6.4974e-15
1252.1785  -1960.74    1.0005    0.1111  6.4999e-15  7.2198e-16  6.4964e-15
1252.2084  -1953.62    1.1168    0.1173  7.2537e-15  7.6180e-16  6.4954e-15
1252.2384  -1946.51    1.0494    0.1137  6.8151e-15  7.3867e-16  6.4943e-15
1252.2683  -1939.40    0.9241    0.1068  6.0002e-15  6.9381e-16  6.4933e-15
1252.2982  -1932.28    1.0211    0.1122  6.6294e-15  7.2866e-16  6.4922e-15
1252.3281  -1925.17    0.9224    0.1068  5.9874e-15  6.9308e-16  6.4912e-15
1252.3580  -1918.05    0.9550    0.1086  6.1981e-15  7.0505e-16  6.4901e-15
1252.3879  -1910.94    1.0370    0.1131  6.7289e-15  7.3370e-16  6.4891e-15
1252.4178  -1903.82    1.0000    0.1111  6.4883e-15  7.2101e-16  6.4881e-15
1252.4477  -1896.71    0.9632    0.1091  6.2481e-15  7.0777e-16  6.4870e-15
1252.4776  -1889.60    1.0233    0.1124  6.6373e-15  7.2871e-16  6.4860e-15
1252.5075  -1882.48    1.1042    0.1167  7.1605e-15  7.5651e-16  6.4849e-15
1252.5375  -1875.37    0.9434    0.1108  6.1166e-15  7.1816e-16  6.4838e-15
1252.5674  -1868.25    0.9224    0.1227  5.9796e-15  7.9527e-16  6.4828e-15
1252.5973  -1861.14    1.0635    0.1361  6.8936e-15  8.8219e-16  6.4817e-15
1252.6272  -1854.03    0.8220    0.1361  5.3271e-15  8.8179e-16  6.4807e-15
1252.6571  -1846.91    1.0192    0.1494  6.6041e-15  9.6832e-16  6.4796e-15
1252.6870  -1839.80    0.9825    0.1508  6.3652e-15  9.7704e-16  6.4786e-15
1252.7169  -1832.68    0.9615    0.1478  6.2278e-15  9.5756e-16  6.4775e-15
1252.7468  -1825.57    0.9056    0.1445  5.8650e-15  9.3564e-16  6.4764e-15
1252.7767  -1818.46    0.7605    0.1341  4.9246e-15  8.6824e-16  6.4754e-15
1252.8066  -1811.34    1.0811    0.1555  6.9995e-15  1.0070e-15  6.4743e-15
1252.8366  -1804.23    0.9231    0.1409  5.9755e-15  9.1197e-16  6.4732e-15
1252.8665  -1797.11    1.0137    0.1477  6.5608e-15  9.5592e-16  6.4722e-15
1252.8964  -1790.00    1.2458    0.1656  8.0617e-15  1.0718e-15  6.4711e-15
1252.9263  -1782.88    1.0875    0.1574  7.0360e-15  1.0186e-15  6.4700e-15
1252.9562  -1775.77    0.9939    0.1520  6.4296e-15  9.8345e-16  6.4690e-15
1252.9861  -1768.66    0.8520    0.1341  5.5107e-15  8.6718e-16  6.4679e-15
1253.0160  -1761.54    0.9198    0.1414  5.9482e-15  9.1473e-16  6.4668e-15
1253.0459  -1754.43    0.9556    0.1328  6.1786e-15  8.5876e-16  6.4658e-15
1253.0758  -1747.31    1.1072    0.1301  7.1574e-15  8.4085e-16  6.4647e-15
1253.1057  -1740.20    1.0454    0.1138  6.7570e-15  7.3524e-16  6.4636e-15
1253.1357  -1733.09    0.9229    0.1071  5.9643e-15  6.9186e-16  6.4625e-15
1253.1656  -1725.97    0.8975    0.1056  5.7990e-15  6.8201e-16  6.4614e-15
1253.1955  -1718.86    0.9091    0.1062  5.8732e-15  6.8618e-16  6.4604e-15
1253.2254  -1711.74    0.9249    0.1072  5.9742e-15  6.9223e-16  6.4593e-15
1253.2553  -1704.63    0.9969    0.1112  6.4384e-15  7.1791e-16  6.4582e-15
1253.2852  -1697.52    0.8728    0.1042  5.6361e-15  6.7278e-16  6.4571e-15
1253.3151  -1690.40    0.9964    0.1112  6.4330e-15  7.1763e-16  6.4560e-15
1253.3450  -1683.29    1.0858    0.1159  7.0085e-15  7.4817e-16  6.4550e-15
1253.3749  -1676.17    1.1336    0.1184  7.3161e-15  7.6423e-16  6.4539e-15
1253.4048  -1669.06    1.0465    0.1138  6.7529e-15  7.3463e-16  6.4528e-15
1253.4348  -1661.94    1.0394    0.1135  6.7057e-15  7.3226e-16  6.4517e-15
1253.4647  -1654.83    0.9533    0.1088  6.1492e-15  7.0179e-16  6.4506e-15
1253.4946  -1647.72    0.9982    0.1112  6.4378e-15  7.1727e-16  6.4495e-15
1253.5245  -1640.60    1.0468    0.1138  6.7502e-15  7.3406e-16  6.4484e-15
1253.5544  -1633.49    1.0007    0.1113  6.4520e-15  7.1785e-16  6.4473e-15
1253.5843  -1626.37    0.9030    0.1059  5.8211e-15  6.8234e-16  6.4462e-15
1253.6142  -1619.26    0.9565    0.1089  6.1645e-15  7.0189e-16  6.4451e-15
1253.6441  -1612.15    0.8604    0.1034  5.5446e-15  6.6607e-16  6.4440e-15
1253.6740  -1605.03    0.8844    0.1048  5.6984e-15  6.7511e-16  6.4429e-15
1253.7039  -1597.92    0.6707    0.0915  4.3204e-15  5.8955e-16  6.4418e-15
1253.7339  -1590.80    0.6776    0.0920  4.3640e-15  5.9254e-16  6.4407e-15
1253.7638  -1583.69    0.6225    0.0883  4.0089e-15  5.6842e-16  6.4396e-15
1253.7937  -1576.58    0.6021    0.0869  3.8765e-15  5.5929e-16  6.4385e-15
1253.8236  -1569.46    0.3937    0.0725  2.5345e-15  4.6666e-16  6.4374e-15
1253.8535  -1562.35    0.3068    0.0726  1.9744e-15  4.6703e-16  6.4363e-15
1253.8834  -1555.23    0.3821    0.0857  2.4590e-15  5.5177e-16  6.4352e-15
1253.9133  -1548.12    0.5577    0.1186  3.5883e-15  7.6297e-16  6.4341e-15
1253.9432  -1541.00    0.5366    0.1165  3.4522e-15  7.4920e-16  6.4330e-15
1253.9731  -1533.89    0.5436    0.1172  3.4964e-15  7.5364e-16  6.4319e-15
1254.0030  -1526.78    0.7250    0.1345  4.6624e-15  8.6519e-16  6.4308e-15
1254.0330  -1519.66    1.0086    0.1579  6.4848e-15  1.0154e-15  6.4297e-15
1254.0629  -1512.55    0.7233    0.1345  4.6499e-15  8.6438e-16  6.4286e-15
1254.0928  -1505.43    0.7173    0.1339  4.6105e-15  8.6075e-16  6.4275e-15
1254.1227  -1498.32    0.8080    0.1419  5.1928e-15  9.1158e-16  6.4264e-15
1254.1526  -1491.21    0.8150    0.1425  5.2369e-15  9.1530e-16  6.4252e-15
1254.1825  -1484.09    0.9189    0.1510  5.9029e-15  9.7004e-16  6.4241e-15
1254.2124  -1476.98    0.9196    0.1511  5.9067e-15  9.7032e-16  6.4230e-15
1254.2423  -1469.86    0.7521    0.1370  4.8302e-15  8.8002e-16  6.4219e-15
1254.2722  -1462.75    0.9199    0.1511  5.9066e-15  9.7010e-16  6.4208e-15
1254.3021  -1455.64    0.9897    0.1566  6.3532e-15  1.0052e-15  6.4197e-15
1254.3321  -1448.52    0.9141    0.1507  5.8673e-15  9.6707e-16  6.4185e-15
1254.3620  -1441.41    0.7797    0.1395  5.0034e-15  8.9504e-16  6.4174e-15
1254.3919  -1434.29    0.9555    0.1540  6.1306e-15  9.8789e-16  6.4163e-15
1254.4218  -1427.18    0.8302    0.1438  5.3257e-15  9.2267e-16  6.4152e-15
1254.4517  -1420.06    1.1498    0.1686  7.3749e-15  1.0811e-15  6.4141e-15
1254.4816  -1412.95    0.7743    0.1391  4.9657e-15  8.9209e-16  6.4129e-15
1254.5115  -1405.84    1.0726    0.1630  6.8774e-15  1.0452e-15  6.4118e-15
1254.5414  -1398.72    0.9489    0.1535  6.0829e-15  9.8435e-16  6.4107e-15
1254.5713  -1391.61    1.1077    0.1656  7.1001e-15  1.0613e-15  6.4096e-15
1254.6012  -1384.49    1.0734    0.1631  6.8789e-15  1.0450e-15  6.4084e-15
1254.6312  -1377.38    0.8086    0.1421  5.1809e-15  9.1056e-16  6.4073e-15
1254.6611  -1370.27    0.8721    0.1475  5.5869e-15  9.4466e-16  6.4062e-15
1254.6910  -1363.15    1.0192    0.1591  6.5282e-15  1.0189e-15  6.4050e-15
