# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1197.7124  -2183.55    1.1432    0.1009  1.3283e-14  1.1724e-15  1.1619e-14
1197.7423  -2176.11    0.9915    0.0940  1.1526e-14  1.0922e-15  1.1625e-14
1197.7722  -2168.68    0.9866    0.0936  1.1475e-14  1.0891e-15  1.1630e-14
1197.8022  -2161.25    1.0385    0.0962  1.2083e-14  1.1189e-15  1.1635e-14
1197.8321  -2153.82    0.9696    0.0928  1.1288e-14  1.0803e-15  1.1641e-14
1197.8620  -2146.38    1.0260    0.0955  1.1949e-14  1.1119e-15  1.1646e-14
1197.8919  -2138.95    1.0096    0.0947  1.1763e-14  1.1034e-15  1.1651e-14
1197.9218  -2131.52    1.0345    0.0958  1.2058e-14  1.1169e-15  1.1657e-14
1197.9517  -2124.09    0.9943    0.0939  1.1596e-14  1.0946e-15  1.1662e-14
1197.9816  -2116.66    0.8733    0.0880  1.0189e-14  1.0270e-15  1.1667e-14
1198.0115  -2109.22    0.9330    0.0911  1.0890e-14  1.0628e-15  1.1672e-14
1198.0414  -2101.79    0.9882    0.0935  1.1539e-14  1.0922e-15  1.1677e-14
1198.0713  -2094.36    1.0278    0.0953  1.2007e-14  1.1138e-15  1.1682e-14
1198.1013  -2086.93    1.0185    0.0949  1.1903e-14  1.1085e-15  1.1687e-14
1198.1312  -2079.50    0.9990    0.0940  1.1679e-14  1.0987e-15  1.1691e-14
1198.1611  -2072.06    0.9643    0.0923  1.1278e-14  1.0795e-15  1.1696e-14
1198.1910  -2064.63    1.0225    0.0949  1.1964e-14  1.1106e-15  1.1701e-14
1198.2209  -2057.20    0.9408    0.0911  1.1013e-14  1.0663e-15  1.1705e-14
1198.2508  -2049.77    1.1254    0.0995  1.3179e-14  1.1646e-15  1.1710e-14
1198.2807  -2042.34    0.9871    0.0932  1.1564e-14  1.0917e-15  1.1714e-14
1198.3106  -2034.90    0.9668    0.0922  1.1330e-14  1.0809e-15  1.1719e-14
1198.3405  -2027.47    0.9458    0.0912  1.1088e-14  1.0686e-15  1.1723e-14
1198.3704  -2020.04    1.1071    0.0986  1.2983e-14  1.1560e-15  1.1727e-14
1198.4004  -2012.61    1.0950    0.0980  1.2846e-14  1.1498e-15  1.1731e-14
1198.4303  -2005.18    0.9783    0.0927  1.1481e-14  1.0874e-15  1.1736e-14
1198.4602  -1997.74    1.0274    0.0948  1.2061e-14  1.1134e-15  1.1740e-14
