# Wave  Vhel  NormFlux  NormErr      Flux        Error       Continuum
1385.1584  -1850.21    0.9148    0.1519  7.4294e-15  1.2333e-15  8.1215e-15
1385.1883  -1843.78    0.8966    0.1483  7.2868e-15  1.2054e-15  8.1270e-15
1385.2182  -1837.35    0.9662    0.1548  7.8573e-15  1.2588e-15  8.1325e-15
1385.2481  -1830.91    1.0271    0.1567  8.3584e-15  1.2751e-15  8.1380e-15
1385.2780  -1824.48    0.9886    0.1542  8.0509e-15  1.2561e-15  8.1436e-15
1385.3079  -1818.05    0.8768    0.1438  7.1449e-15  1.1715e-15  8.1491e-15
1385.3379  -1811.61    0.9467    0.1511  7.7197e-15  1.2318e-15  8.1546e-15
1385.3678  -1805.18    0.9027    0.1530  7.3664e-15  1.2485e-15  8.1602e-15
1385.3977  -1798.75    0.9973    0.1567  8.1433e-15  1.2797e-15  8.1657e-15
1385.4276  -1792.31    0.8813    0.1476  7.2009e-15  1.2062e-15  8.1712e-15
1385.4575  -1785.88    1.0807    0.1599  8.8366e-15  1.3073e-15  8.1768e-15
1385.4874  -1779.45    1.2224    0.1737  1.0002e-14  1.4210e-15  8.1823e-15
1385.5173  -1773.01    0.8620    0.1247  7.0579e-15  1.0214e-15  8.1879e-15
1385.5472  -1766.58    0.8790    0.1097  7.2017e-15  8.9883e-16  8.1934e-15
1385.5771  -1760.14    0.9256    0.1124  7.5890e-15  9.2193e-16  8.1990e-15
1385.6070  -1753.71    0.7874    0.1039  6.4600e-15  8.5255e-16  8.2045e-15
1385.6370  -1747.28    0.7655    0.1024  6.2849e-15  8.4087e-16  8.2101e-15
1385.6669  -1740.84    0.8655    0.1086  7.1107e-15  8.9250e-16  8.2156e-15
1385.6968  -1734.41    0.9095    0.1113  7.4771e-15  9.1481e-16  8.2212e-15
1385.7267  -1727.98    0.9298    0.1124  7.6489e-15  9.2489e-16  8.2268e-15
1385.7566  -1721.54    0.9767    0.1151  8.0404e-15  9.4771e-16  8.2323e-15
1385.7865  -1715.11    0.9256    0.1121  7.6247e-15  9.2370e-16  8.2379e-15
1385.8164  -1708.68    1.1109    0.1226  9.1576e-15  1.0104e-15  8.2435e-15
1385.8463  -1702.24    1.0094    0.1170  8.3266e-15  9.6499e-16  8.2490e-15
1385.8762  -1695.81    1.0005    0.1164  8.2589e-15  9.6088e-16  8.2546e-15
1385.9061  -1689.38    0.9672    0.1145  7.9895e-15  9.4539e-16  8.2602e-15
1385.9361  -1682.94    1.1705    0.1256  9.6749e-15  1.0381e-15  8.2658e-15
1385.9660  -1676.51    1.0239    0.1176  8.4692e-15  9.7256e-16  8.2713e-15
1385.9959  -1670.08    1.0788    0.1206  8.9292e-15  9.9809e-16  8.2769e-15
1386.0258  -1663.64    0.8905    0.1098  7.3753e-15  9.0956e-16  8.2825e-15
1386.0557  -1657.21    0.8286    0.1060  6.8678e-15  8.7867e-16  8.2881e-15
1386.0856  -1650.77    1.0572    0.1193  8.7680e-15  9.8937e-16  8.2937e-15
1386.1155  -1644.34    0.9588    0.1137  7.9572e-15  9.4348e-16  8.2993e-15
1386.1454  -1637.91    0.9153    0.1111  7.6011e-15  9.2282e-16  8.3049e-15
1386.1753  -1631.47    0.8510    0.1072  7.0720e-15  8.9118e-16  8.3105e-15
1386.2052  -1625.04    0.7691    0.1021  6.3956e-15  8.4937e-16  8.3161e-15
1386.2352  -1618.61    0.8296    0.1059  6.9039e-15  8.8126e-16  8.3217e-15
1386.2651  -1612.17    1.1771    0.1255  9.8023e-15  1.0451e-15  8.3273e-15
1386.2950  -1605.74    0.9387    0.1123  7.8225e-15  9.3619e-16  8.3329e-15
1386.3249  -1599.31    0.9698    0.1141  8.0871e-15  9.5141e-16  8.3385e-15
1386.3548  -1592.87    0.8706    0.1082  7.2640e-15  9.0318e-16  8.3441e-15
1386.3847  -1586.44    1.0502    0.1186  8.7690e-15  9.9019e-16  8.3497e-15
1386.4146  -1580.01    0.8628    0.1077  7.2087e-15  8.9978e-16  8.3553e-15
1386.4445  -1573.57    0.9380    0.1121  7.8429e-15  9.3690e-16  8.3609e-15
1386.4744  -1567.14    0.9421    0.1123  7.8818e-15  9.3937e-16  8.3665e-15
1386.5043  -1560.71    0.9500    0.1127  7.9538e-15  9.4337e-16  8.3721e-15
1386.5343  -1554.27    0.9687    0.1137  8.1152e-15  9.5290e-16  8.3778e-15
1386.5642  -1547.84    0.8953    0.1094  7.5060e-15  9.1724e-16  8.3834e-15
1386.5941  -1541.40    1.0741    0.1196  9.0107e-15  1.0030e-15  8.3890e-15
1386.6240  -1534.97    0.9012    0.1098  7.5654e-15  9.2150e-16  8.3946e-15
1386.6539  -1528.54    0.8104    0.1042  6.8079e-15  8.7535e-16  8.4002e-15
1386.6838  -1522.10    0.9832    0.1144  8.2643e-15  9.6198e-16  8.4058e-15
1386.7137  -1515.67    0.9264    0.1111  7.7923e-15  9.3444e-16  8.4115e-15
1386.7436  -1509.24    0.8536    0.1067  7.1850e-15  8.9836e-16  8.4171e-15
1386.7735  -1502.80    0.9511    0.1125  8.0106e-15  9.4792e-16  8.4227e-15
1386.8034  -1496.37    1.0432    0.1177  8.7922e-15  9.9218e-16  8.4284e-15
1386.8334  -1489.94    0.7616    0.1009  6.4233e-15  8.5113e-16  8.4340e-15
1386.8633  -1483.50    0.8833    0.1084  7.4546e-15  9.1518e-16  8.4396e-15
1386.8932  -1477.07    0.7913    0.1027  6.6831e-15  8.6723e-16  8.4452e-15
1386.9231  -1470.64    0.9911    0.1146  8.3753e-15  9.6833e-16  8.4509e-15
1386.9530  -1464.20    0.9594    0.1128  8.1133e-15  9.5360e-16  8.4565e-15
1386.9829  -1457.77    0.8488    0.1062  7.1824e-15  8.9830e-16  8.4621e-15
1387.0128  -1451.34    0.8327    0.1051  7.0509e-15  8.8988e-16  8.4678e-15
1387.0427  -1444.90    0.8606    0.1068  7.2922e-15  9.0524e-16  8.4734e-15
1387.0726  -1438.47    1.0834    0.1195  9.1864e-15  1.0132e-15  8.4791e-15
1387.1025  -1432.03    1.0614    0.1182  9.0056e-15  1.0032e-15  8.4847e-15
1387.1325  -1425.60    0.8897    0.1085  7.5539e-15  9.2140e-16  8.4903e-15
1387.1624  -1419.17    0.9866    0.1140  8.3820e-15  9.6876e-16  8.4960e-15
1387.1923  -1412.73    1.0001    0.1147  8.5023e-15  9.7537e-16  8.5016e-15
1387.2222  -1406.30    0.8211    0.1042  6.9849e-15  8.8682e-16  8.5073e-15
1387.2521  -1399.87    0.9486    0.1118  8.0750e-15  9.5149e-16  8.5129e-15
1387.2820  -1393.43    0.9688    0.1129  8.2527e-15  9.6154e-16  8.5185e-15
1387.3119  -1387.00    0.7699    0.1009  6.5627e-15  8.6047e-16  8.5242e-15
1387.3418  -1380.57    0.8633    0.1066  7.3639e-15  9.0963e-16  8.5298e-15
1387.3717  -1374.13    0.8374    0.1063  7.1472e-15  9.0722e-16  8.5355e-15
1387.4016  -1367.70    0.7665    0.1143  6.5466e-15  9.7616e-16  8.5411e-15
1387.4316  -1361.27    0.9137    0.1257  7.8092e-15  1.0743e-15  8.5468e-15
1387.4615  -1354.83    0.9933    0.1482  8.4952e-15  1.2675e-15  8.5524e-15
1387.4914  -1348.40    0.9351    0.1523  8.0022e-15  1.3032e-15  8.5581e-15
1387.5213  -1341.97    1.0715    0.1605  9.1759e-15  1.3744e-15  8.5637e-15
1387.5512  -1335.53    1.1049    0.1599  9.4682e-15  1.3702e-15  8.5694e-15
