#rbins bin1_median bin1_lo bin1_hi bin1_mean bin2_median bin2_lo bin2_hi bin2_mean bin3_median bin3_lo bin3_hi bin3_mean 
 0.05 1.327e+01 1.058e+01 1.492e+01 1.465e+01 1.504e+01 1.312e+01 1.606e+01 1.573e+01 1.616e+01 1.480e+01 1.679e+01 1.647e+01 
 0.15 1.082e+01 9.840e+00 1.184e+01 1.187e+01 1.247e+01 1.133e+01 1.349e+01 1.353e+01 1.397e+01 1.300e+01 1.518e+01 1.495e+01 
 0.25 9.710e+00 8.981e+00 1.058e+01 1.046e+01 1.151e+01 1.029e+01 1.243e+01 1.215e+01 1.282e+01 1.217e+01 1.355e+01 1.335e+01 
 0.35 9.150e+00 8.292e+00 1.006e+01 1.023e+01 1.110e+01 9.938e+00 1.181e+01 1.148e+01 1.213e+01 1.154e+01 1.286e+01 1.264e+01 
 0.45 8.880e+00 7.806e+00 9.650e+00 1.025e+01 1.069e+01 9.550e+00 1.141e+01 1.122e+01 1.161e+01 1.103e+01 1.242e+01 1.211e+01 
 0.55 8.755e+00 7.611e+00 9.510e+00 1.037e+01 1.018e+01 9.238e+00 1.113e+01 1.185e+01 1.119e+01 1.057e+01 1.202e+01 1.222e+01 
 0.65 8.640e+00 7.616e+00 9.467e+00 1.076e+01 9.750e+00 9.017e+00 1.085e+01 1.107e+01 1.083e+01 1.009e+01 1.164e+01 1.181e+01 
 0.75 8.575e+00 7.608e+00 9.434e+00 1.056e+01 9.580e+00 8.909e+00 1.050e+01 1.050e+01 1.054e+01 9.750e+00 1.138e+01 1.158e+01 
 0.85 8.525e+00 7.692e+00 9.373e+00 1.042e+01 9.360e+00 8.850e+00 1.015e+01 1.090e+01 1.019e+01 9.470e+00 1.104e+01 1.187e+01 
 0.95 8.500e+00 7.602e+00 9.258e+00 1.089e+01 9.320e+00 8.850e+00 1.017e+01 1.157e+01 9.940e+00 9.220e+00 1.099e+01 1.274e+01 
 1.05 8.530e+00 7.638e+00 9.370e+00 1.050e+01 9.245e+00 8.820e+00 1.024e+01 1.139e+01 9.690e+00 9.140e+00 1.088e+01 1.265e+01 
 1.15 8.450e+00 7.585e+00 9.245e+00 1.062e+01 9.180e+00 8.770e+00 1.002e+01 1.096e+01 9.480e+00 9.092e+00 1.088e+01 1.259e+01 
 1.25 8.550e+00 7.708e+00 9.272e+00 1.089e+01 9.125e+00 8.726e+00 9.958e+00 1.056e+01 9.380e+00 9.000e+00 1.109e+01 1.300e+01 
 1.35 8.450e+00 7.624e+00 9.305e+00 1.079e+01 9.090e+00 8.740e+00 9.910e+00 1.088e+01 9.320e+00 8.960e+00 1.103e+01 1.339e+01 
 1.45 8.540e+00 7.687e+00 9.203e+00 1.083e+01 9.020e+00 8.728e+00 9.880e+00 1.195e+01 9.255e+00 8.930e+00 1.074e+01 1.312e+01 
 1.55 8.500e+00 7.641e+00 9.278e+00 1.115e+01 9.040e+00 8.740e+00 9.844e+00 1.222e+01 9.170e+00 8.890e+00 9.990e+00 1.206e+01 
 1.65 8.515e+00 7.655e+00 9.265e+00 1.074e+01 9.010e+00 8.730e+00 9.890e+00 1.187e+01 9.120e+00 8.860e+00 1.002e+01 1.193e+01 
 1.75 8.475e+00 7.760e+00 9.266e+00 1.097e+01 8.970e+00 8.700e+00 9.794e+00 1.252e+01 9.030e+00 8.810e+00 1.001e+01 1.179e+01 
 1.85 8.545e+00 7.691e+00 9.370e+00 1.100e+01 8.970e+00 8.680e+00 9.810e+00 1.335e+01 9.040e+00 8.850e+00 1.005e+01 1.082e+01 
 1.95 8.540e+00 7.780e+00 9.261e+00 1.128e+01 8.970e+00 8.660e+00 9.850e+00 1.282e+01 9.040e+00 8.790e+00 1.007e+01 1.092e+01 
