#rbins bin1_median bin1_lo bin1_hi bin1_mean bin2_median bin2_lo bin2_hi bin2_mean bin3_median bin3_lo bin3_hi bin3_mean 
 0.05 1.457e+01 1.361e+01 1.506e+01 1.487e+01 1.539e+01 1.457e+01 1.618e+01 1.587e+01 1.631e+01 1.557e+01 1.688e+01 1.658e+01 
 0.15 1.354e+01 1.304e+01 1.405e+01 1.395e+01 1.437e+01 1.370e+01 1.481e+01 1.455e+01 1.513e+01 1.476e+01 1.557e+01 1.537e+01 
 0.25 1.328e+01 1.270e+01 1.382e+01 1.386e+01 1.409e+01 1.341e+01 1.445e+01 1.422e+01 1.471e+01 1.446e+01 1.499e+01 1.480e+01 
 0.35 1.314e+01 1.252e+01 1.378e+01 1.385e+01 1.395e+01 1.333e+01 1.433e+01 1.408e+01 1.452e+01 1.428e+01 1.476e+01 1.459e+01 
 0.45 1.304e+01 1.242e+01 1.383e+01 1.378e+01 1.381e+01 1.324e+01 1.423e+01 1.397e+01 1.439e+01 1.417e+01 1.465e+01 1.446e+01 
 0.55 1.294e+01 1.233e+01 1.377e+01 1.380e+01 1.371e+01 1.315e+01 1.419e+01 1.392e+01 1.429e+01 1.407e+01 1.454e+01 1.436e+01 
 0.65 1.291e+01 1.228e+01 1.378e+01 1.384e+01 1.361e+01 1.309e+01 1.409e+01 1.386e+01 1.416e+01 1.398e+01 1.448e+01 1.428e+01 
 0.75 1.282e+01 1.220e+01 1.380e+01 1.379e+01 1.357e+01 1.309e+01 1.405e+01 1.382e+01 1.411e+01 1.392e+01 1.439e+01 1.421e+01 
 0.85 1.277e+01 1.220e+01 1.378e+01 1.378e+01 1.345e+01 1.294e+01 1.397e+01 1.374e+01 1.404e+01 1.384e+01 1.433e+01 1.416e+01 
 0.95 1.268e+01 1.219e+01 1.370e+01 1.377e+01 1.343e+01 1.294e+01 1.401e+01 1.377e+01 1.399e+01 1.377e+01 1.429e+01 1.414e+01 
 1.05 1.270e+01 1.216e+01 1.382e+01 1.385e+01 1.339e+01 1.295e+01 1.392e+01 1.373e+01 1.395e+01 1.370e+01 1.430e+01 1.410e+01 
 1.15 1.259e+01 1.212e+01 1.365e+01 1.370e+01 1.335e+01 1.290e+01 1.390e+01 1.373e+01 1.387e+01 1.363e+01 1.426e+01 1.406e+01 
 1.25 1.263e+01 1.212e+01 1.374e+01 1.377e+01 1.328e+01 1.286e+01 1.382e+01 1.368e+01 1.383e+01 1.357e+01 1.426e+01 1.405e+01 
 1.35 1.256e+01 1.203e+01 1.375e+01 1.384e+01 1.325e+01 1.286e+01 1.383e+01 1.368e+01 1.380e+01 1.352e+01 1.426e+01 1.410e+01 
 1.45 1.259e+01 1.202e+01 1.364e+01 1.366e+01 1.318e+01 1.281e+01 1.384e+01 1.368e+01 1.375e+01 1.348e+01 1.424e+01 1.402e+01 
 1.55 1.255e+01 1.200e+01 1.377e+01 1.383e+01 1.317e+01 1.281e+01 1.389e+01 1.371e+01 1.367e+01 1.345e+01 1.402e+01 1.388e+01 
 1.65 1.257e+01 1.195e+01 1.371e+01 1.375e+01 1.316e+01 1.280e+01 1.384e+01 1.367e+01 1.361e+01 1.337e+01 1.400e+01 1.382e+01 
 1.75 1.254e+01 1.191e+01 1.372e+01 1.376e+01 1.311e+01 1.276e+01 1.383e+01 1.369e+01 1.359e+01 1.329e+01 1.404e+01 1.386e+01 
 1.85 1.255e+01 1.188e+01 1.377e+01 1.375e+01 1.307e+01 1.275e+01 1.384e+01 1.386e+01 1.350e+01 1.320e+01 1.404e+01 1.386e+01 
 1.95 1.254e+01 1.185e+01 1.370e+01 1.376e+01 1.307e+01 1.270e+01 1.385e+01 1.374e+01 1.345e+01 1.314e+01 1.428e+01 1.395e+01 
