#rbins bin1_median bin1_lo bin1_hi bin1_mean bin2_median bin2_lo bin2_hi bin2_mean bin3_median bin3_lo bin3_hi bin3_mean 
 0.05 1.537e+01 1.357e+01 1.805e+01 1.762e+01 1.780e+01 1.487e+01 1.929e+01 1.891e+01 1.916e+01 1.705e+01 1.982e+01 1.953e+01 
 0.15 1.366e+01 1.311e+01 1.416e+01 1.425e+01 1.449e+01 1.374e+01 1.603e+01 1.668e+01 1.636e+01 1.488e+01 1.803e+01 1.807e+01 
 0.25 1.335e+01 1.289e+01 1.380e+01 1.358e+01 1.421e+01 1.351e+01 1.483e+01 1.514e+01 1.507e+01 1.423e+01 1.609e+01 1.607e+01 
 0.35 1.324e+01 1.273e+01 1.377e+01 1.353e+01 1.407e+01 1.342e+01 1.447e+01 1.590e+01 1.450e+01 1.395e+01 1.526e+01 1.526e+01 
 0.45 1.321e+01 1.268e+01 1.374e+01 1.587e+01 1.397e+01 1.336e+01 1.428e+01 1.594e+01 1.420e+01 1.377e+01 1.475e+01 1.452e+01 
 0.55 1.316e+01 1.261e+01 1.371e+01 1.350e+01 1.389e+01 1.338e+01 1.417e+01 1.479e+01 1.403e+01 1.366e+01 1.455e+01 1.545e+01 
 0.65 1.317e+01 1.262e+01 1.371e+01 1.508e+01 1.379e+01 1.332e+01 1.409e+01 1.406e+01 1.391e+01 1.355e+01 1.439e+01 1.505e+01 
 0.75 1.317e+01 1.259e+01 1.371e+01 1.350e+01 1.371e+01 1.330e+01 1.402e+01 1.549e+01 1.385e+01 1.349e+01 1.424e+01 1.562e+01 
 0.85 1.313e+01 1.259e+01 1.371e+01 1.345e+01 1.362e+01 1.325e+01 1.396e+01 1.396e+01 1.372e+01 1.343e+01 1.420e+01 1.497e+01 
 0.95 1.312e+01 1.256e+01 1.366e+01 1.343e+01 1.361e+01 1.325e+01 1.392e+01 1.451e+01 1.365e+01 1.332e+01 1.403e+01 1.596e+01 
 1.05 1.312e+01 1.256e+01 1.369e+01 1.343e+01 1.354e+01 1.321e+01 1.388e+01 1.428e+01 1.359e+01 1.329e+01 1.400e+01 1.596e+01 
 1.15 1.313e+01 1.258e+01 1.364e+01 1.411e+01 1.351e+01 1.318e+01 1.383e+01 1.379e+01 1.353e+01 1.325e+01 1.399e+01 1.595e+01 
 1.25 1.311e+01 1.256e+01 1.364e+01 1.395e+01 1.345e+01 1.311e+01 1.378e+01 1.359e+01 1.347e+01 1.313e+01 1.410e+01 1.595e+01 
 1.35 1.313e+01 1.260e+01 1.360e+01 1.477e+01 1.340e+01 1.307e+01 1.377e+01 1.371e+01 1.342e+01 1.311e+01 1.405e+01 1.639e+01 
 1.45 1.314e+01 1.258e+01 1.360e+01 1.370e+01 1.339e+01 1.304e+01 1.376e+01 1.526e+01 1.337e+01 1.304e+01 1.386e+01 1.616e+01 
 1.55 1.307e+01 1.255e+01 1.358e+01 1.348e+01 1.341e+01 1.304e+01 1.375e+01 1.548e+01 1.330e+01 1.299e+01 1.370e+01 1.486e+01 
 1.65 1.315e+01 1.263e+01 1.359e+01 1.348e+01 1.336e+01 1.294e+01 1.369e+01 1.501e+01 1.328e+01 1.298e+01 1.367e+01 1.563e+01 
 1.75 1.309e+01 1.256e+01 1.360e+01 1.383e+01 1.333e+01 1.299e+01 1.368e+01 1.529e+01 1.320e+01 1.292e+01 1.357e+01 1.600e+01 
 1.85 1.311e+01 1.257e+01 1.357e+01 1.516e+01 1.331e+01 1.292e+01 1.367e+01 1.641e+01 1.320e+01 1.299e+01 1.364e+01 1.585e+01 
 1.95 1.308e+01 1.257e+01 1.359e+01 1.517e+01 1.332e+01 1.288e+01 1.365e+01 1.604e+01 1.326e+01 1.292e+01 1.363e+01 1.569e+01 
