#rbins bin1_median bin1_lo bin1_hi bin1_mean bin2_median bin2_lo bin2_hi bin2_mean bin3_median bin3_lo bin3_hi bin3_mean 
 0.05 1.893e+01 1.853e+01 1.926e+01 1.904e+01 1.957e+01 1.901e+01 2.024e+01 1.993e+01 2.029e+01 1.959e+01 2.061e+01 2.038e+01 
 0.15 1.864e+01 1.833e+01 1.898e+01 1.877e+01 1.913e+01 1.877e+01 1.944e+01 1.926e+01 1.956e+01 1.926e+01 1.991e+01 1.973e+01 
 0.25 1.863e+01 1.830e+01 1.893e+01 1.876e+01 1.906e+01 1.872e+01 1.930e+01 1.909e+01 1.931e+01 1.911e+01 1.955e+01 1.937e+01 
 0.35 1.859e+01 1.824e+01 1.893e+01 1.873e+01 1.901e+01 1.870e+01 1.920e+01 1.903e+01 1.920e+01 1.902e+01 1.941e+01 1.926e+01 
 0.45 1.858e+01 1.824e+01 1.891e+01 1.872e+01 1.896e+01 1.868e+01 1.915e+01 1.898e+01 1.912e+01 1.894e+01 1.933e+01 1.918e+01 
 0.55 1.854e+01 1.820e+01 1.891e+01 1.871e+01 1.893e+01 1.866e+01 1.913e+01 1.895e+01 1.905e+01 1.887e+01 1.927e+01 1.911e+01 
 0.65 1.857e+01 1.821e+01 1.889e+01 1.871e+01 1.888e+01 1.860e+01 1.911e+01 1.892e+01 1.899e+01 1.880e+01 1.924e+01 1.906e+01 
 0.75 1.856e+01 1.819e+01 1.889e+01 1.871e+01 1.884e+01 1.858e+01 1.908e+01 1.889e+01 1.895e+01 1.876e+01 1.919e+01 1.902e+01 
 0.85 1.853e+01 1.818e+01 1.889e+01 1.869e+01 1.881e+01 1.855e+01 1.902e+01 1.885e+01 1.890e+01 1.871e+01 1.914e+01 1.897e+01 
 0.95 1.852e+01 1.816e+01 1.886e+01 1.867e+01 1.879e+01 1.855e+01 1.903e+01 1.885e+01 1.888e+01 1.867e+01 1.912e+01 1.895e+01 
 1.05 1.853e+01 1.816e+01 1.891e+01 1.870e+01 1.874e+01 1.851e+01 1.901e+01 1.882e+01 1.886e+01 1.864e+01 1.911e+01 1.892e+01 
 1.15 1.851e+01 1.815e+01 1.884e+01 1.866e+01 1.873e+01 1.852e+01 1.900e+01 1.882e+01 1.882e+01 1.861e+01 1.907e+01 1.889e+01 
 1.25 1.850e+01 1.814e+01 1.887e+01 1.867e+01 1.869e+01 1.847e+01 1.898e+01 1.879e+01 1.877e+01 1.855e+01 1.904e+01 1.886e+01 
 1.35 1.852e+01 1.814e+01 1.885e+01 1.868e+01 1.868e+01 1.844e+01 1.897e+01 1.877e+01 1.875e+01 1.853e+01 1.904e+01 1.886e+01 
 1.45 1.850e+01 1.814e+01 1.882e+01 1.864e+01 1.867e+01 1.843e+01 1.896e+01 1.877e+01 1.871e+01 1.850e+01 1.901e+01 1.882e+01 
 1.55 1.847e+01 1.811e+01 1.885e+01 1.867e+01 1.868e+01 1.844e+01 1.897e+01 1.877e+01 1.867e+01 1.846e+01 1.890e+01 1.874e+01 
 1.65 1.850e+01 1.814e+01 1.882e+01 1.866e+01 1.864e+01 1.837e+01 1.893e+01 1.874e+01 1.865e+01 1.844e+01 1.887e+01 1.871e+01 
 1.75 1.846e+01 1.811e+01 1.881e+01 1.865e+01 1.863e+01 1.840e+01 1.892e+01 1.874e+01 1.857e+01 1.839e+01 1.885e+01 1.868e+01 
 1.85 1.847e+01 1.810e+01 1.882e+01 1.864e+01 1.862e+01 1.837e+01 1.893e+01 1.874e+01 1.862e+01 1.841e+01 1.884e+01 1.869e+01 
 1.95 1.845e+01 1.810e+01 1.881e+01 1.865e+01 1.862e+01 1.835e+01 1.893e+01 1.872e+01 1.863e+01 1.836e+01 1.884e+01 1.871e+01 
