#rbins bin1_median bin1_lo bin1_hi bin1_mean bin2_median bin2_lo bin2_hi bin2_mean bin3_median bin3_lo bin3_hi bin3_mean 
 0.05 1.271e+01 1.202e+01 1.318e+01 1.300e+01 1.327e+01 1.278e+01 1.362e+01 1.344e+01 1.372e+01 1.348e+01 1.404e+01 1.382e+01 
 0.15 1.264e+01 1.210e+01 1.307e+01 1.291e+01 1.327e+01 1.268e+01 1.355e+01 1.334e+01 1.361e+01 1.343e+01 1.386e+01 1.368e+01 
 0.25 1.257e+01 1.203e+01 1.299e+01 1.288e+01 1.319e+01 1.263e+01 1.346e+01 1.328e+01 1.357e+01 1.338e+01 1.380e+01 1.363e+01 
 0.35 1.245e+01 1.186e+01 1.291e+01 1.279e+01 1.313e+01 1.262e+01 1.341e+01 1.323e+01 1.353e+01 1.333e+01 1.371e+01 1.357e+01 
 0.45 1.235e+01 1.182e+01 1.282e+01 1.275e+01 1.306e+01 1.254e+01 1.337e+01 1.317e+01 1.348e+01 1.329e+01 1.370e+01 1.353e+01 
 0.55 1.222e+01 1.163e+01 1.270e+01 1.268e+01 1.300e+01 1.243e+01 1.331e+01 1.312e+01 1.344e+01 1.325e+01 1.365e+01 1.349e+01 
 0.65 1.213e+01 1.159e+01 1.266e+01 1.274e+01 1.293e+01 1.230e+01 1.322e+01 1.305e+01 1.337e+01 1.319e+01 1.358e+01 1.343e+01 
 0.75 1.207e+01 1.145e+01 1.260e+01 1.264e+01 1.288e+01 1.229e+01 1.318e+01 1.303e+01 1.331e+01 1.313e+01 1.354e+01 1.338e+01 
 0.85 1.196e+01 1.134e+01 1.260e+01 1.266e+01 1.277e+01 1.218e+01 1.309e+01 1.292e+01 1.325e+01 1.308e+01 1.348e+01 1.333e+01 
 0.95 1.192e+01 1.130e+01 1.258e+01 1.259e+01 1.274e+01 1.216e+01 1.310e+01 1.293e+01 1.319e+01 1.299e+01 1.345e+01 1.327e+01 
 1.05 1.186e+01 1.121e+01 1.264e+01 1.268e+01 1.266e+01 1.213e+01 1.303e+01 1.287e+01 1.315e+01 1.293e+01 1.341e+01 1.323e+01 
 1.15 1.179e+01 1.119e+01 1.258e+01 1.256e+01 1.258e+01 1.207e+01 1.303e+01 1.283e+01 1.306e+01 1.286e+01 1.339e+01 1.317e+01 
 1.25 1.177e+01 1.111e+01 1.254e+01 1.255e+01 1.255e+01 1.203e+01 1.295e+01 1.278e+01 1.295e+01 1.276e+01 1.332e+01 1.310e+01 
 1.35 1.169e+01 1.116e+01 1.266e+01 1.264e+01 1.251e+01 1.199e+01 1.296e+01 1.276e+01 1.289e+01 1.269e+01 1.329e+01 1.306e+01 
 1.45 1.171e+01 1.112e+01 1.248e+01 1.249e+01 1.243e+01 1.188e+01 1.291e+01 1.270e+01 1.283e+01 1.260e+01 1.319e+01 1.300e+01 
 1.55 1.161e+01 1.104e+01 1.260e+01 1.261e+01 1.240e+01 1.188e+01 1.291e+01 1.270e+01 1.272e+01 1.252e+01 1.312e+01 1.292e+01 
 1.65 1.164e+01 1.106e+01 1.257e+01 1.254e+01 1.233e+01 1.185e+01 1.286e+01 1.266e+01 1.262e+01 1.246e+01 1.308e+01 1.286e+01 
 1.75 1.154e+01 1.092e+01 1.257e+01 1.256e+01 1.229e+01 1.185e+01 1.282e+01 1.263e+01 1.250e+01 1.234e+01 1.303e+01 1.284e+01 
 1.85 1.159e+01 1.088e+01 1.260e+01 1.255e+01 1.224e+01 1.181e+01 1.282e+01 1.261e+01 1.245e+01 1.231e+01 1.315e+01 1.288e+01 
 1.95 1.157e+01 1.083e+01 1.250e+01 1.256e+01 1.223e+01 1.177e+01 1.282e+01 1.261e+01 1.238e+01 1.220e+01 1.331e+01 1.298e+01 
