#rbins bin1_median bin1_lo bin1_hi bin1_mean bin2_median bin2_lo bin2_hi bin2_mean bin3_median bin3_lo bin3_hi bin3_mean 
 0.05 1.460e+01 1.370e+01 1.525e+01 1.505e+01 1.564e+01 1.480e+01 1.644e+01 1.612e+01 1.660e+01 1.585e+01 1.715e+01 1.685e+01 
 0.15 1.374e+01 1.318e+01 1.432e+01 1.419e+01 1.464e+01 1.395e+01 1.509e+01 1.483e+01 1.543e+01 1.503e+01 1.587e+01 1.567e+01 
 0.25 1.352e+01 1.296e+01 1.412e+01 1.413e+01 1.437e+01 1.370e+01 1.473e+01 1.450e+01 1.500e+01 1.474e+01 1.528e+01 1.509e+01 
 0.35 1.342e+01 1.282e+01 1.411e+01 1.412e+01 1.423e+01 1.363e+01 1.462e+01 1.436e+01 1.481e+01 1.456e+01 1.506e+01 1.488e+01 
 0.45 1.331e+01 1.273e+01 1.412e+01 1.406e+01 1.411e+01 1.353e+01 1.451e+01 1.426e+01 1.467e+01 1.445e+01 1.495e+01 1.475e+01 
 0.55 1.320e+01 1.266e+01 1.407e+01 1.408e+01 1.403e+01 1.345e+01 1.446e+01 1.420e+01 1.457e+01 1.434e+01 1.483e+01 1.465e+01 
 0.65 1.319e+01 1.262e+01 1.407e+01 1.412e+01 1.393e+01 1.336e+01 1.440e+01 1.415e+01 1.445e+01 1.427e+01 1.477e+01 1.456e+01 
 0.75 1.312e+01 1.254e+01 1.412e+01 1.407e+01 1.389e+01 1.335e+01 1.436e+01 1.411e+01 1.439e+01 1.421e+01 1.467e+01 1.450e+01 
 0.85 1.309e+01 1.249e+01 1.409e+01 1.406e+01 1.374e+01 1.325e+01 1.425e+01 1.404e+01 1.432e+01 1.414e+01 1.462e+01 1.445e+01 
 0.95 1.298e+01 1.247e+01 1.404e+01 1.405e+01 1.373e+01 1.326e+01 1.431e+01 1.406e+01 1.427e+01 1.407e+01 1.458e+01 1.443e+01 
 1.05 1.302e+01 1.243e+01 1.413e+01 1.413e+01 1.370e+01 1.329e+01 1.422e+01 1.403e+01 1.422e+01 1.400e+01 1.459e+01 1.440e+01 
 1.15 1.291e+01 1.240e+01 1.398e+01 1.398e+01 1.365e+01 1.324e+01 1.421e+01 1.403e+01 1.415e+01 1.395e+01 1.455e+01 1.436e+01 
 1.25 1.297e+01 1.237e+01 1.410e+01 1.405e+01 1.359e+01 1.319e+01 1.413e+01 1.398e+01 1.411e+01 1.388e+01 1.457e+01 1.434e+01 
 1.35 1.293e+01 1.234e+01 1.409e+01 1.412e+01 1.358e+01 1.317e+01 1.414e+01 1.398e+01 1.410e+01 1.382e+01 1.456e+01 1.440e+01 
 1.45 1.296e+01 1.230e+01 1.400e+01 1.395e+01 1.351e+01 1.315e+01 1.415e+01 1.398e+01 1.404e+01 1.377e+01 1.454e+01 1.432e+01 
 1.55 1.295e+01 1.228e+01 1.410e+01 1.411e+01 1.353e+01 1.308e+01 1.416e+01 1.401e+01 1.396e+01 1.374e+01 1.436e+01 1.417e+01 
 1.65 1.296e+01 1.230e+01 1.405e+01 1.404e+01 1.347e+01 1.311e+01 1.417e+01 1.397e+01 1.392e+01 1.369e+01 1.432e+01 1.412e+01 
 1.75 1.291e+01 1.225e+01 1.410e+01 1.405e+01 1.344e+01 1.309e+01 1.415e+01 1.399e+01 1.387e+01 1.361e+01 1.433e+01 1.416e+01 
 1.85 1.296e+01 1.223e+01 1.411e+01 1.404e+01 1.340e+01 1.306e+01 1.415e+01 1.416e+01 1.379e+01 1.356e+01 1.434e+01 1.416e+01 
 1.95 1.292e+01 1.220e+01 1.402e+01 1.404e+01 1.341e+01 1.301e+01 1.416e+01 1.404e+01 1.376e+01 1.346e+01 1.456e+01 1.424e+01 
