#rbins bin1_median bin1_lo bin1_hi bin1_mean bin2_median bin2_lo bin2_hi bin2_mean bin3_median bin3_lo bin3_hi bin3_mean 
 0.05 1.253e+01 9.866e+00 1.330e+01 1.301e+01 1.384e+01 1.280e+01 1.439e+01 1.408e+01 1.459e+01 1.418e+01 1.489e+01 1.466e+01 
 0.15 9.850e+00 8.496e+00 1.152e+01 1.154e+01 1.219e+01 1.061e+01 1.316e+01 1.287e+01 1.359e+01 1.278e+01 1.404e+01 1.381e+01 
 0.25 8.070e+00 0.000e+00 9.624e+00 9.669e+00 1.089e+01 9.264e+00 1.199e+01 1.178e+01 1.251e+01 1.158e+01 1.320e+01 1.292e+01 
 0.35 5.200e+00 0.000e+00 8.938e+00 9.500e+00 1.009e+01 8.268e+00 1.108e+01 1.082e+01 1.163e+01 1.064e+01 1.261e+01 1.229e+01 
 0.45 0.000e+00 0.000e+00 7.890e+00 9.601e+00 9.385e+00 6.661e+00 1.051e+01 1.037e+01 1.080e+01 9.820e+00 1.210e+01 1.180e+01 
 0.55 0.000e+00 0.000e+00 7.114e+00 1.002e+01 8.560e+00 0.000e+00 9.960e+00 1.056e+01 1.006e+01 8.788e+00 1.159e+01 1.141e+01 
 0.65 0.000e+00 0.000e+00 4.688e+00 1.017e+01 7.355e+00 0.000e+00 9.638e+00 1.006e+01 9.670e+00 7.794e+00 1.103e+01 1.118e+01 
 0.75 0.000e+00 0.000e+00 5.826e+00 1.033e+01 5.535e+00 0.000e+00 8.952e+00 9.917e+00 8.920e+00 6.431e+00 1.069e+01 1.086e+01 
 0.85 0.000e+00 0.000e+00 4.702e+00 1.004e+01 0.000e+00 0.000e+00 8.136e+00 1.003e+01 8.330e+00 0.000e+00 1.033e+01 1.084e+01 
 0.95 0.000e+00 0.000e+00 0.000e+00 1.060e+01 0.000e+00 0.000e+00 8.069e+00 1.040e+01 7.675e+00 0.000e+00 1.020e+01 1.110e+01 
 1.05 0.000e+00 0.000e+00 3.970e+00 1.012e+01 0.000e+00 0.000e+00 8.580e+00 1.040e+01 6.870e+00 0.000e+00 9.871e+00 1.111e+01 
 1.15 0.000e+00 0.000e+00 0.000e+00 1.014e+01 0.000e+00 0.000e+00 8.342e+00 1.038e+01 4.270e+00 0.000e+00 9.715e+00 1.128e+01 
 1.25 0.000e+00 0.000e+00 0.000e+00 1.046e+01 0.000e+00 0.000e+00 7.964e+00 1.014e+01 0.000e+00 0.000e+00 9.415e+00 1.142e+01 
 1.35 0.000e+00 0.000e+00 0.000e+00 1.052e+01 0.000e+00 0.000e+00 7.842e+00 1.033e+01 0.000e+00 0.000e+00 9.436e+00 1.157e+01 
 1.45 0.000e+00 0.000e+00 0.000e+00 1.026e+01 0.000e+00 0.000e+00 7.886e+00 1.081e+01 0.000e+00 0.000e+00 8.781e+00 1.132e+01 
 1.55 0.000e+00 0.000e+00 0.000e+00 1.054e+01 0.000e+00 0.000e+00 7.832e+00 1.111e+01 0.000e+00 0.000e+00 7.550e+00 1.029e+01 
 1.65 0.000e+00 0.000e+00 4.392e+00 1.045e+01 0.000e+00 0.000e+00 7.852e+00 1.097e+01 0.000e+00 0.000e+00 7.541e+00 1.006e+01 
 1.75 0.000e+00 0.000e+00 5.405e+00 1.072e+01 0.000e+00 0.000e+00 7.868e+00 1.141e+01 0.000e+00 0.000e+00 7.562e+00 1.020e+01 
 1.85 0.000e+00 0.000e+00 5.947e+00 1.063e+01 0.000e+00 0.000e+00 8.256e+00 1.169e+01 0.000e+00 0.000e+00 7.876e+00 1.006e+01 
 1.95 0.000e+00 0.000e+00 5.539e+00 1.078e+01 0.000e+00 0.000e+00 8.417e+00 1.137e+01 0.000e+00 0.000e+00 8.411e+00 1.042e+01 
