#rbins bin1_median bin1_lo bin1_hi bin1_mean bin2_median bin2_lo bin2_hi bin2_mean bin3_median bin3_lo bin3_hi bin3_mean 
 0.05 1.345e+01 1.256e+01 1.410e+01 1.388e+01 1.445e+01 1.365e+01 1.522e+01 1.491e+01 1.541e+01 1.465e+01 1.600e+01 1.568e+01 
 0.15 1.256e+01 1.199e+01 1.310e+01 1.300e+01 1.342e+01 1.275e+01 1.383e+01 1.360e+01 1.420e+01 1.383e+01 1.464e+01 1.445e+01 
 0.25 1.231e+01 1.171e+01 1.289e+01 1.293e+01 1.314e+01 1.248e+01 1.352e+01 1.327e+01 1.377e+01 1.353e+01 1.406e+01 1.387e+01 
 0.35 1.218e+01 1.156e+01 1.284e+01 1.292e+01 1.300e+01 1.241e+01 1.338e+01 1.313e+01 1.359e+01 1.335e+01 1.384e+01 1.366e+01 
 0.45 1.208e+01 1.145e+01 1.285e+01 1.285e+01 1.287e+01 1.229e+01 1.326e+01 1.302e+01 1.345e+01 1.322e+01 1.372e+01 1.353e+01 
 0.55 1.196e+01 1.139e+01 1.283e+01 1.288e+01 1.277e+01 1.219e+01 1.322e+01 1.297e+01 1.334e+01 1.313e+01 1.360e+01 1.342e+01 
 0.65 1.195e+01 1.133e+01 1.284e+01 1.292e+01 1.268e+01 1.213e+01 1.314e+01 1.291e+01 1.321e+01 1.304e+01 1.353e+01 1.334e+01 
 0.75 1.186e+01 1.126e+01 1.286e+01 1.287e+01 1.264e+01 1.211e+01 1.309e+01 1.288e+01 1.316e+01 1.297e+01 1.344e+01 1.327e+01 
 0.85 1.183e+01 1.123e+01 1.284e+01 1.286e+01 1.249e+01 1.200e+01 1.300e+01 1.281e+01 1.309e+01 1.289e+01 1.339e+01 1.322e+01 
 0.95 1.170e+01 1.121e+01 1.278e+01 1.284e+01 1.248e+01 1.199e+01 1.305e+01 1.283e+01 1.304e+01 1.282e+01 1.334e+01 1.320e+01 
 1.05 1.175e+01 1.116e+01 1.289e+01 1.293e+01 1.244e+01 1.202e+01 1.295e+01 1.280e+01 1.300e+01 1.275e+01 1.337e+01 1.316e+01 
 1.15 1.164e+01 1.113e+01 1.271e+01 1.278e+01 1.238e+01 1.198e+01 1.294e+01 1.280e+01 1.292e+01 1.268e+01 1.333e+01 1.312e+01 
 1.25 1.167e+01 1.109e+01 1.283e+01 1.284e+01 1.232e+01 1.194e+01 1.287e+01 1.274e+01 1.288e+01 1.262e+01 1.333e+01 1.311e+01 
 1.35 1.163e+01 1.105e+01 1.284e+01 1.292e+01 1.231e+01 1.190e+01 1.289e+01 1.274e+01 1.285e+01 1.257e+01 1.333e+01 1.318e+01 
 1.45 1.168e+01 1.103e+01 1.274e+01 1.274e+01 1.224e+01 1.186e+01 1.290e+01 1.275e+01 1.280e+01 1.253e+01 1.330e+01 1.309e+01 
 1.55 1.166e+01 1.101e+01 1.283e+01 1.291e+01 1.225e+01 1.181e+01 1.292e+01 1.278e+01 1.273e+01 1.250e+01 1.312e+01 1.294e+01 
 1.65 1.168e+01 1.103e+01 1.280e+01 1.283e+01 1.221e+01 1.185e+01 1.291e+01 1.275e+01 1.266e+01 1.242e+01 1.306e+01 1.289e+01 
 1.75 1.163e+01 1.096e+01 1.283e+01 1.284e+01 1.217e+01 1.182e+01 1.290e+01 1.277e+01 1.264e+01 1.233e+01 1.310e+01 1.293e+01 
 1.85 1.168e+01 1.096e+01 1.283e+01 1.284e+01 1.213e+01 1.180e+01 1.290e+01 1.295e+01 1.254e+01 1.227e+01 1.309e+01 1.293e+01 
 1.95 1.165e+01 1.092e+01 1.277e+01 1.284e+01 1.214e+01 1.175e+01 1.292e+01 1.282e+01 1.249e+01 1.219e+01 1.334e+01 1.302e+01 
