#rbins bin1_median bin1_lo bin1_hi bin1_mean bin2_median bin2_lo bin2_hi bin2_mean bin3_median bin3_lo bin3_hi bin3_mean 
 0.05 1.297e+01 1.015e+01 1.398e+01 1.380e+01 1.440e+01 1.304e+01 1.522e+01 1.489e+01 1.539e+01 1.450e+01 1.600e+01 1.566e+01 
 0.15 1.015e+01 9.023e+00 1.176e+01 1.174e+01 1.237e+01 1.092e+01 1.332e+01 1.310e+01 1.381e+01 1.300e+01 1.449e+01 1.428e+01 
 0.25 8.685e+00 4.187e+00 1.011e+01 1.007e+01 1.131e+01 9.766e+00 1.224e+01 1.200e+01 1.272e+01 1.187e+01 1.340e+01 1.312e+01 
 0.35 7.750e+00 0.000e+00 9.474e+00 9.945e+00 1.047e+01 8.955e+00 1.144e+01 1.113e+01 1.193e+01 1.097e+01 1.282e+01 1.251e+01 
 0.45 6.370e+00 0.000e+00 8.802e+00 1.013e+01 9.845e+00 7.961e+00 1.085e+01 1.068e+01 1.118e+01 1.021e+01 1.233e+01 1.204e+01 
 0.55 2.775e+00 0.000e+00 8.409e+00 1.042e+01 9.110e+00 5.358e+00 1.039e+01 1.111e+01 1.048e+01 9.322e+00 1.187e+01 1.177e+01 
 0.65 0.000e+00 0.000e+00 7.887e+00 1.050e+01 8.365e+00 0.000e+00 1.006e+01 1.054e+01 1.012e+01 8.648e+00 1.138e+01 1.148e+01 
 0.75 0.000e+00 0.000e+00 7.888e+00 1.060e+01 7.930e+00 0.000e+00 9.560e+00 1.025e+01 9.510e+00 7.920e+00 1.109e+01 1.119e+01 
 0.85 0.000e+00 0.000e+00 7.741e+00 1.030e+01 6.720e+00 0.000e+00 8.889e+00 1.044e+01 9.020e+00 7.318e+00 1.077e+01 1.128e+01 
 0.95 0.000e+00 0.000e+00 7.134e+00 1.086e+01 7.350e+00 0.000e+00 8.740e+00 1.092e+01 8.500e+00 4.241e+00 1.063e+01 1.194e+01 
 1.05 0.000e+00 0.000e+00 7.850e+00 1.039e+01 7.285e+00 0.000e+00 8.972e+00 1.081e+01 8.110e+00 0.000e+00 1.033e+01 1.185e+01 
 1.15 0.000e+00 0.000e+00 7.225e+00 1.041e+01 6.660e+00 0.000e+00 8.830e+00 1.069e+01 7.410e+00 0.000e+00 1.035e+01 1.183e+01 
 1.25 0.000e+00 0.000e+00 7.114e+00 1.072e+01 5.405e+00 0.000e+00 8.484e+00 1.039e+01 6.810e+00 0.000e+00 1.021e+01 1.226e+01 
 1.35 0.000e+00 0.000e+00 7.035e+00 1.076e+01 2.640e+00 0.000e+00 8.461e+00 1.059e+01 6.860e+00 0.000e+00 1.000e+01 1.260e+01 
 1.45 0.000e+00 0.000e+00 6.631e+00 1.058e+01 0.000e+00 0.000e+00 8.388e+00 1.124e+01 6.535e+00 0.000e+00 1.003e+01 1.234e+01 
 1.55 0.000e+00 0.000e+00 7.238e+00 1.088e+01 3.080e+00 0.000e+00 8.468e+00 1.154e+01 0.000e+00 0.000e+00 8.540e+00 1.136e+01 
 1.65 0.000e+00 0.000e+00 7.120e+00 1.065e+01 6.900e-01 0.000e+00 8.520e+00 1.131e+01 0.000e+00 0.000e+00 8.464e+00 1.109e+01 
 1.75 0.000e+00 0.000e+00 7.566e+00 1.090e+01 0.000e+00 0.000e+00 8.480e+00 1.188e+01 0.000e+00 0.000e+00 8.575e+00 1.101e+01 
 1.85 0.000e+00 0.000e+00 7.618e+00 1.083e+01 0.000e+00 0.000e+00 8.643e+00 1.256e+01 2.990e+00 0.000e+00 8.900e+00 1.058e+01 
 1.95 0.000e+00 0.000e+00 7.394e+00 1.101e+01 4.250e-01 0.000e+00 8.879e+00 1.208e+01 6.460e+00 0.000e+00 9.361e+00 1.085e+01 
