xR,f_HI,f_HI_siglow,f_HI_sighi,M_HI,M_HI_siglow,M_HI_sighi,f_CII,f_CII_siglow,f_CII_sighi,M_CII,M_CII_siglow,M_CII_sighi,f_CIV,f_CIV_siglow,f_CIV_sighi,M_CIV,M_CIV_siglow,M_CIV_sighi,f_SiII,f_SiII_siglow,f_SiII_sighi,M_SiII,M_SiII_siglow,M_SiII_sighi,f_SiIII,f_SiIII_siglow,f_SiIII_sighi,M_SiIII,M_SiIII_siglow,M_SiIII_sighi,f_SiIV,f_SiIV_siglow,f_SiIV_sighi,M_SiIV,M_SiIV_siglow,M_SiIV_sighi
0.1,0.015714285714285715,-0.0071428571428571435,0.00857142857142857,0.0,-0.0,0.0,0.005714285714285714,-0.0014285714285714284,0.002857142857142856,0.0,-0.0,0.0,0.005714285714285714,-0.0014285714285714284,0.002857142857142856,0.0,-0.0,0.0,0.002857142857142857,0.0,0.0,0.0,-0.0,0.0,0.00857142857142857,-0.0028571428571428567,0.0028571428571428567,0.0,-0.0,0.0,0.002857142857142857,0.0,0.0014285714285714288,0.0,-0.0,0.0
0.1024516879467968,0.025714285714285717,-0.01142857142857143,0.014285714285714284,919.79,-523.01,1199.38,0.008571428571428572,-0.0028571428571428576,0.004285714285714283,186.31,-68.01,104.1,0.009999999999999998,-0.002857142857142856,0.004285714285714285,163.19,-44.98,59.24,0.004285714285714286,0.0,0.0,19.68,-4.15,4.93,0.014285714285714284,-0.004285714285714285,0.004285714285714285,51.28,-13.08,17.35,0.005714285714285714,-0.0014285714285714284,0.002857142857142856,30.96,-8.73,12.44
0.10496348363147825,0.03857142857142857,-0.01714285714285714,0.020000000000000004,1827.78,-1034.69,2362.57,0.012857142857142855,-0.004285714285714285,0.005714285714285713,375.0,-136.07,208.16,0.015714285714285715,-0.0042857142857142885,0.005714285714285713,327.49,-89.77,117.89,0.005714285714285714,0.0,0.0,39.86,-8.34,9.87,0.02142857142857143,-0.005714285714285717,0.007142857142857142,102.68,-25.97,34.37,0.008571428571428572,-0.0028571428571428576,0.004285714285714283,62.48,-17.49,24.79
0.10753686070820924,0.05285714285714286,-0.02285714285714286,0.027142857142857142,2727.2,-1537.31,3482.65,0.01714285714285714,-0.005714285714285713,0.00857142857142857,566.38,-204.55,311.19,0.022857142857142854,-0.005714285714285713,0.00857142857142857,493.0,-134.07,175.75,0.008571428571428572,0.0,0.0014285714285714266,60.52,-12.57,14.82,0.029999999999999995,-0.00857142857142857,0.009999999999999998,154.22,-38.71,51.0,0.012857142857142857,-0.004285714285714287,0.005714285714285712,94.54,-26.28,37.22
0.11017332896055605,0.07,-0.030000000000000013,0.0357142857142857,3614.44,-2027.97,4576.83,0.022857142857142854,-0.007142857142857142,0.011428571428571427,759.57,-272.51,414.7,0.029999999999999995,-0.00857142857142857,0.01142857142857143,659.52,-177.85,232.55,0.011428571428571429,-0.0014285714285714284,0.002857142857142855,81.69,-16.8,19.83,0.039999999999999994,-0.011428571428571427,0.012857142857142859,206.0,-51.41,67.19,0.01714285714285714,-0.005714285714285713,0.00857142857142857,127.21,-35.15,49.44
0.11287443518726678,0.08714285714285715,-0.03571428571428571,0.044285714285714275,4488.17,-2504.55,5628.47,0.02857142857142857,-0.010000000000000002,0.01428571428571428,955.63,-341.16,516.11,0.03714285714285714,-0.011428571428571427,0.01428571428571429,827.12,-221.15,289.39,0.014285714285714285,-0.0028571428571428567,0.004285714285714283,103.36,-21.07,24.85,0.049999999999999996,-0.014285714285714284,0.017142857142857147,257.89,-64.0,82.95,0.021428571428571425,-0.007142857142857142,0.01142857142857143,160.6,-44.2,61.54
0.11564176410976797,0.10285714285714284,-0.04142857142857141,0.051428571428571435,5351.08,-2971.67,6646.44,0.03428571428571428,-0.012857142857142855,0.01714285714285714,1154.38,-409.66,618.0,0.045714285714285714,-0.01428571428571429,0.017142857142857147,996.2,-265.06,344.36,0.01714285714285714,-0.004285714285714283,0.005714285714285713,125.58,-25.4,29.86,0.058571428571428566,-0.015714285714285715,0.020000000000000004,309.94,-76.47,98.51,0.025714285714285714,-0.008571428571428574,0.01428571428571428,194.42,-53.21,74.07
0.1184769393019103,0.11999999999999998,-0.04857142857142854,0.058571428571428566,6208.42,-3434.11,7618.23,0.039999999999999994,-0.014285714285714284,0.020000000000000004,1355.07,-478.05,720.12,0.05428571428571428,-0.015714285714285715,0.019999999999999997,1166.11,-308.45,400.11,0.02,-0.005714285714285715,0.007142857142857138,148.31,-29.72,34.93,0.06714285714285714,-0.01857142857142858,0.022857142857142854,361.99,-88.47,113.87,0.029999999999999995,-0.011428571428571427,0.015714285714285712,228.77,-62.24,86.3
0.12138162414250901,0.1357142857142857,-0.05428571428571427,0.06428571428571431,7052.49,-3880.01,8562.29,0.04571428571428571,-0.015714285714285712,0.022857142857142868,1558.06,-545.54,821.84,0.06142857142857142,-0.01714285714285714,0.022857142857142847,1337.28,-350.64,454.53,0.022857142857142857,-0.007142857142857145,0.008571428571428567,171.57,-34.05,40.01,0.0757142857142857,-0.021428571428571422,0.02714285714285715,414.13,-100.39,128.78,0.03428571428571428,-0.012857142857142855,0.018571428571428565,263.89,-71.27,98.44
0.12435752279123706,0.1514285714285714,-0.059999999999999984,0.07142857142857145,7891.2,-4324.82,9470.8,0.05142857142857142,-0.01714285714285714,0.025714285714285717,1764.7,-614.74,922.17,0.06857142857142856,-0.01999999999999999,0.025714285714285717,1509.75,-392.86,507.58,0.02714285714285714,-0.00857142857142857,0.009999999999999998,195.48,-38.45,44.9,0.08428571428571428,-0.024285714285714292,0.029999999999999985,466.53,-112.1,143.49,0.03857142857142857,-0.014285714285714287,0.02142857142857143,299.58,-80.25,110.72
