References,gal_name,gal_ra_deg,gal_dec_deg,gal_vlsr_km/s,qso_hsla_name,qso_ra_deg,qso_dec_deg,impact_para_kpc,impact_para_err,qso_hsla_snr,qso_snr_stis,gal_z,gal_dmpc,d_err,d_ref,logM*,logM*_err,M*_ref,logM200m,logM200m_err,M200m_ref,logM200c,logM200c_err,M200c_ref,logMHI,logMHI_err,MHI_ref,logSFR_flg,logSFR(Msun/yr),logSFR_err,SFR_ref,R200m_kpc,R200m_err,R200c_kpc,R200c_err,Wr_flg_HI,Wr_HI,eWr_HI,logN_flg_HI,logN_HI,elogN_HI,Wr_flg_SiII,Wr_SiII,eWr_SiII,logN_flg_SiII,logN_SiII,elogN_SiII,Wr_flg_SiIII,Wr_SiIII,eWr_SiIII,logN_flg_SiIII,logN_SiIII,elogN_SiIII,Wr_flg_SiIV,Wr_SiIV,eWr_SiIV,logN_flg_SiIV,logN_SiIV,elogN_SiIV,Wr_flg_CII,Wr_CII,eWr_CII,logN_flg_CII,logN_CII,elogN_CII,Wr_flg_CIV,Wr_CIV,eWr_CIV,logN_flg_CIV,logN_CIV,elogN_CIV,Wr_flg_OVI,Wr_OVI,eWr_OVI,logN_flg_OVI,logN_OVI,elogN_OVI
Liang&Chen2014,SDSSJ111342.87+352902.6,168.4286,35.4841,nan,SDSSJ111239.11+353928.2,168.163,35.6578,120.1,nan,4.8,nan,0.0058,nan,nan,,5.23,nan,Liang+2014(Kroupa IMF),9.57,nan,M21,9.42,nan,M21,nan,nan,,,nan,nan,Liang+2014,48.4,nan,29.1,nan,=,156.0,26.0,=,13.46,0.07,<=(1sig),9.5,nan,<=(1sig),11.76,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),26.0,nan,<=(1sig),13.11,nan,<=(1sig),25.5,nan,<=(1sig),12.8,nan,,nan,nan,,nan,nan
NewObs/Archived,LGS3,15.9792,21.885,-287.39,MRK1148,12.9782,17.4329,59.8,1.9,19.6,nan,nan,0.65,0.02,J09,5.84,0.04,M12_rescaled,9.790000000000001,0.01,M21,9.64,0.01,M21,5.32,0.03,H18+d_ref,=,-5.46,0.05,"FUV, Lee11",57.3,0.4,34.5,0.3,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),8.2,nan,<=(1sig),11.6,nan,<=(1sig),8.8,nan,<=(1sig),12.01,nan,<=(1sig),8.0,nan,<=(1sig),12.61,nan,<=(1sig),12.3,nan,<=(1sig),12.47,nan,,nan,nan,,nan,nan
NewObs/Archived,KK109,176.7967,43.6719,216.26,CSO1214,175.8634,43.1961,65.0,4.8,9.5,nan,nan,4.51,0.35,K03,6.12,0.07,K13+d_ref,9.89,0.02,M21,9.74,0.02,M21,6.54,0.07,K13_m21+d_ref,=,-4.32,0.13,"FUV, Lee11",61.8,1.0,37.2,0.6,,nan,nan,,nan,nan,<=(1sig),12.9,nan,<=(1sig),11.91,nan,<=(1sig),14.9,nan,<=(1sig),11.85,nan,<=(1sig),16.3,nan,<=(1sig),12.28,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
NewObs/Archived,AGC748778,1.6433,15.5108,259.07,PG0003+158,1.4968,16.1636,75.3,1.9,24.2,nan,nan,6.46,0.17,McQ15,6.13,0.21,McQ21,9.89,0.07,M21,9.74,0.07,M21,6.67,0.05,Teich16,=,-3.7,0.05,"FUV, K13_c",61.8,3.4,37.3,2.0,,nan,nan,,nan,nan,<=(1sig),5.7,nan,<=(1sig),11.54,nan,=,30.6,6.8,=,12.2,0.1,<=(1sig),7.2,nan,<=(1sig),11.9,nan,,nan,nan,,nan,nan,=,29.3,8.2,=,12.9,0.12,,nan,nan,,nan,nan
NewObs/Archived,KKH086,208.64,4.2431,295.11,SDSS-J135726.27+043541.4,209.3595,4.5948,36.0,1.1,18.9,nan,nan,2.58,0.08,D09,6.48,0.07,Dale09+d_ref,10.01,0.03,M21,9.86,0.03,M21,6.1,0.03,H18+d_ref,=,-4.3,0.06,"FUV, Lee11",67.7,1.6,40.8,0.9,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),34.7,nan,<=(1sig),12.24,nan,<=(1sig),13.9,nan,<=(1sig),12.19,nan,,nan,nan,,nan,nan,<=(1sig),15.4,nan,<=(1sig),12.61,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ093402.38+551423.2,143.5099,55.2398,nan,MRK106,139.9804,55.3603,384.9,nan,27.1,nan,0.0026,nan,nan,,6.63,nan,Liang+2014(Kroupa IMF),10.07,nan,M21,9.92,nan,M21,nan,nan,,,-1.46,nan,Liang+2014,71.0,nan,42.7,nan,<=(1sig),9.0,nan,<=(1sig),12.22,nan,<=(1sig),3.5,nan,<=(1sig),11.32,nan,<=(1sig),4.0,nan,<=(1sig),11.28,nan,<=(1sig),4.0,nan,<=(1sig),11.66,nan,,nan,nan,,nan,nan,<=(1sig),3.0,nan,<=(1sig),11.87,nan,,nan,nan,,nan,nan
NewObs/Archived,GR8,194.6683,14.2175,223.09,PGC-1440438,195.1509,13.7849,23.1,0.3,10.9,nan,nan,2.08,0.02,D09,6.67,0.06,Dale09+d_ref,10.08,0.02,M21,9.93,0.02,M21,7.03,0.01,H18+d_ref,=,-2.87,0.02,"FUV, Lee11",71.6,1.1,43.0,0.7,,nan,nan,,nan,nan,<=(1sig),17.1,nan,<=(1sig),12.03,nan,<=(1sig),15.8,nan,<=(1sig),11.89,nan,<=(1sig),7.7,nan,<=(1sig),11.94,nan,,nan,nan,,nan,nan,<=(1sig),22.5,nan,<=(1sig),12.75,nan,,nan,nan,,nan,nan
NewObs/Archived,GR8,194.6683,14.2175,223.09,SDSSJ130223.12+140609.0,195.5963,14.1025,32.9,0.3,9.4,nan,nan,2.08,0.02,D09,6.67,0.06,Dale09+d_ref,10.08,0.02,M21,9.93,0.02,M21,7.03,0.01,H18+d_ref,=,-2.87,0.02,"FUV, Lee11",71.5,1.1,43.0,0.7,,nan,nan,,nan,nan,<=(1sig),17.4,nan,<=(1sig),12.02,nan,<=(1sig),16.9,nan,<=(1sig),11.94,nan,<=(1sig),23.0,nan,<=(1sig),12.44,nan,,nan,nan,,nan,nan,<=(1sig),14.2,nan,<=(1sig),12.55,nan,,nan,nan,,nan,nan
NewObs/Archived,DDO187,213.9854,23.0553,171.04,NGC-5548,214.4981,25.1368,82.3,2.2,128.4,nan,nan,2.21,0.06,D09,6.73,0.06,Dale09+d_ref,10.1,0.02,M21,9.95,0.02,M21,7.13,0.02,H18+d_ref,=,-3.22,0.03,"FUV, Lee11",72.7,1.1,43.7,0.7,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),0.7,nan,<=(1sig),10.54,nan,<=(1sig),1.1,nan,<=(1sig),11.08,nan,,nan,nan,,nan,nan,<=(1sig),0.6,nan,<=(1sig),11.19,nan,,nan,nan,,nan,nan
NewObs/Archived,DDO187,213.9854,23.0553,171.04,SDSS-J141038.39+230447.1,212.66,23.0798,47.0,1.4,10.3,nan,nan,2.21,0.06,D09,6.73,0.06,Dale09+d_ref,10.1,0.02,M21,9.95,0.02,M21,7.13,0.02,H18+d_ref,=,-3.22,0.03,"FUV, Lee11",72.7,1.1,43.7,0.7,,nan,nan,,nan,nan,<=(1sig),11.9,nan,<=(1sig),11.88,nan,,nan,nan,,nan,nan,<=(1sig),16.9,nan,<=(1sig),12.28,nan,,nan,nan,,nan,nan,<=(1sig),14.2,nan,<=(1sig),12.57,nan,,nan,nan,,nan,nan
